海特(00:00:09): 喂 hello。

Andy(00:00:10): Hello. 早上好。

海特(00:00:14): 上好刚起床吗。
Andy(00:04:46): 有一点印象，又不太记得太清楚，这个方面其实有一些更新。就我这几天也是类似在放假，除了健身以外也有去跟内在去。感受跟对话一下吧！然后。就我发现。怎么讲。我去这几天有去听那个课，然后有一点我觉得还蛮。他类似让我认知到他说，其实内在小孩是会。改变的就是去聆听他的一些想法，感受跟需求就是有耐心一点去感受他一下，然后因为我觉得平时工作日的话，就是会有很多外在的事情去打扰或者繁忙嘛，然后。感觉这几天很认真的去。感受到他，我感觉到他最大的诉求就是很渴望有人去。

Andy(00:06:34): 陪伴这样子那种陪伴不是说就是我要陪你多久你才能变好这样子，而是说就是一种。不会离弃的这种陪伴，就我能感受到他这个需求，然后他也是就是，然后其实我一直想象那个画面，我记得之前有跟你分享过，就是。他其实是住在一个类似。监狱里面吧，监牢里面就是可能有很多根铁柱子，然后他是在里面，然后他年龄大概我之前分享过也是。1010岁左右。又是一个小孩这样子。就后来反正就是我意识到他有这个需求，然后就有一天。一直在自我陪伴嘛，一直陪着他也没有很催促他。他也有一些愿望，比如说他想监狱就是长满草地，然后想买1000。

Andy(00:08:08): 鲜花这样子对，然后。反正后来好像昨天吧！会不会很卡，刚突然卡。哈哈！能听见吗。Hello. Hello. 

海特(00:09:39): 不好意思，刚刚网络有一点断了。

Andy(00:09:44): 没关系。

海特(00:09:47): 刚才听到在内在的小孩在监牢里，大概是10岁左右，然后后面的部分我没有听到了。

Andy(00:09:58): 之前这个场景我也有跟你分享过。然后这两天我感觉。可能因为也是没有工作上的事情而烦，然后就是仔细的去感受跟陪伴他吧，然后也没有很急。稍等，然后他有一个需求就除了陪伴以外，他还想把监狱弄的。绿化好一点，就是可能种满一些草跟花之类的，然后我就在那个想象里面给他监牢里面添加了一些花跟草。之类的。然后。蛮神奇的是他好像昨天就变成了一个类似大学生的形象。我感觉对有点像大二大三大四这样子的形象。然后我能感受得到他。是同一个人，他是从小孩子变过去的，我感觉就是蛮。神奇的。

海特(00:11:37): 听起来我有一些部分还蛮困惑的，我们可以一起再来讨论一下。

Andy(00:11:46): 可以探讨。也可以结合上周的东西讨论。

海特(00:11:48): 首先小内在的小孩，他在一个监狱里面，他好像并没有想要出来。想做的是给监狱种一些花花草草，让监狱变得更漂亮。

Andy(00:12:07): 是他好像没有想出来的意思。

海特(00:12:14): 用监狱去形容他所存在的这个地方。我想先了解一下感受它是怎么。发生了这个监狱，可能它是什么样子的一个监狱你所感受到的，但是虽然好像用监狱去形容它并没有想要出来。

Andy(00:12:42): 我告诉一下我的，我得到的一个画面就是它就是类似有很多柱子这样子铁就你影视剧里面能看见那种古代那种监牢嘛，就是很多根铁柱子。然后。他之前的形象就是一个小孩，然后那种衣衫不整，就是破烂的这样子的感觉。是有点像是缩在角落，然后抱着头就抱着膝盖这样子的一种形象对。然后他然后那个所谓的保护者，或者是之前那个所谓法官，或者他在这里就是有点像一个典狱长，或者是一个那种监狱的门会门卫吧。然后。他就会站在监狱的外面，然后就基本上就不怎么会离开这样子，他为什么不离开？我觉得他不离开的原因是。我能感受到的是。他被限制了自由，但是他也觉得这样子很安全。对因为一个监牢，它虽然是你出不去，但是别人也进不来。就是这样子的感觉。

海特(00:14:22): 担心有谁会进来会破坏安全。

Andy(00:14:32): 一些坏的东西。

海特(00:14:35): 什么东西？

Andy(00:14:50): 这个就感受不到，就是一些很潜在危险的东西！

海特(00:14:56): 好像类似的画面，它也反反复复的出现过，在过去我们好像也曾经用一个安全的壳子。足球场好像也形容过这一个小孩所处身处的地方。足球场有一个守门员这一个壳子，当我们探出头去。也会感到害怕，想要缩回来。虽然它是一个监狱，但好像某种程度上也成为了一个安全堡垒，但它又安全。另一方面好像又切切实的。

海特(00:15:39): 将你困在这里？

Andy(00:15:42): 这种感觉，我觉得他是没有很指定某种特定的危险就是可能泛指一切的。危险或者一些潜在坏的因素这样子。

海特(00:16:02): 当上周谈到那惊恐的时刻。我动用了2000块钱，好害怕将在那里。这是一个外界的坏的因素之一吗？又或者他可能不是。

Andy(00:16:33): 我感受一下。算，我觉得算是。没有卡。

海特(00:16:55): 不好意思刚刚好又卡了一下，现在可以听到吗？OK。

Andy(00:17:00): 现在可以听到我说算是吧，算是。算是一种危险的。

海特(00:17:06): 在危险的情境下，安全的监狱他如何保护了你？

Andy(00:17:21): 那些铁柱跟保护者就会站在前面。

海特(00:17:28): 他是怎么样抵御惊恐的时刻的，让你动弹不得吗？上周所说的。我躲在监狱里面。我将在这里面。

Andy(00:17:56): 我觉得很恐慌的情绪是小孩子的感受。动弹不得就不知道了。我觉得没有到动弹不得那么严重，但是他就是很恐慌的一个状态，然后那个监狱。长它会。对他就是有一本书，我上周也有讲过，有时候它是一本书，有时候它是一个类似监狱长这样子，然后他就会看那本书，我这个状况就要这样子去应对，就比如说我应该要跟。公司的人去讲，然后就严格按照这个条例去进行，那我觉得这本书它也包含我之前不是讲过，可能我小时候就有看过一些成功学的书，就所有的责任都要自己去担当，这样子就这本书就是它。我不会给它一个很坏的名字，我可以把它叫做智慧之树之类的，他可能铭刻了一些我认为是对的价值观跟。跟智慧所谓的人生智慧，然后那个典狱长就会按照这个去执行吧，就哪怕我是在一个。

Andy(00:19:30): 哪怕那个小孩是在一个很恐慌的情绪里面？

海特(00:19:43): 当那个小孩进入到一个恐慌的情绪，他有一本智慧之书在典狱长的手上。这个典狱长给这一个小孩子的要求。我应该要怎么样去行事，然后这个小孩子好像在安全的基地里面，我跟着这一个典狱长的要求去行事。能够获得一点点安全的感觉。

Andy(00:20:23): 我觉得他也没有安全感。他隔绝的危险，但是他也是没有安全感。因为他还是能看见外面来的危险，就因为那是一个头一根一根柱子，其实他也能看见外面发生什么事情。他也是很害怕。我觉得可能之前的问题。典狱长是能解决具体的问题，比如说碰到这件事情要怎么样去应对，但是其实他没有或者没。不是说他没有，而是说没有人去，没有一个部分去照顾到那个小孩，其实最基本的需要就是。有没有人陪伴他去抚平这个情绪。对因为。好像我之前的我觉得最最近这半年或一年就好一点，但是之前可能我的行为模式是比较偏向，那这个。A 问题解决了，就解决 a 问题 B 问题解出现就解决 B 问题。那个小孩的感受有没有人去陪伴他，或者说是哪怕这么危险的状况我也不会去。

Andy(00:22:06): 抛弃你不管，然后对我觉得这部分是。我觉得之前最近也有开始慢慢看到了，可能最近越来越看到这一部分是他。更需要的，因为我觉得他其实是这个阶段的他是。包含了我很害怕被抛弃的部分，对会不会遇见什么状况，我就会被抛弃这样子的。

海特(00:22:51): 那些虽然好像这是一个安全的堡垒，他并没有给到你真正的安全的感受。

Andy(00:22:52): 恐慌吧，我会觉得。

Andy(00:23:10): 说他提供了一个安全的事实，但是没有提供到一个安全的感受，可能从事实上来讲，那件事情确实是被很正确的去解决了，但是从感受上。就其实我记得前两三次咨询我有个点一直很奇怪嘛，就其实明明理性上我觉得这件事情已经被很得到解决，或者证明是错的，就是不是的那样，为什么我还是那么的。

Andy(00:23:45): 恐慌，我觉得其实就是在这里，事实是得到了解决，但是那股情绪他并没有得到妥善的。陪伴我安置这样子。

海特(00:24:02): 我们来细细的感体会一下这一部分，当你说我感受到这个小孩，他要的是陪伴。这种需求。它是如何浮现出来的？

Andy(00:24:43): 坦白讲，我觉得一开始他也没有很明确的跟我说，我就是要陪伴，我觉得。以前的我是花了很多精力在解决问题这个情况，因为我以为是问题导致他会这样，当然也是有一部分原因是问题的，大家刚刚说的就是最后是我发现是。解决那件事情，那个小孩也还是会很害怕会恐慌。然后我就后来因为有接触到心理学，就包括半年前讲的那种什么理想的父母，或者说是。现在可能讲内在家庭系统讲，就是因为现在家庭系统它对流浪者的定普遍做法，就是不需要特别去做什么，就是陪伴他来满足他的需求。然后。我也有问他，我要不要为他做一些什么，他其实没有回答我，所以我后来采取的策略那就尝试一下。

Andy(00:26:01): 陪伴他嘛，然后。我也有一点不太确定要怎么办？刚开始陪伴的时候，我觉得有一些质疑，是不是就这样陪着他，那这股情绪就能被得到？解决包括有一天。我忘记是也是前周一什么时候不知道为什么也是有一股就能从他那边感受到很大的被。就是一股很大的恐慌吧，其实我也不知道这股情绪从哪里来，我也不知道要因为不知道他从哪里来，所以也解决不了，那所以只能做的就是陪伴。然后可能就是待在酒店里面去感，就陪他去感受那股情绪，然后就可能去泡一下澡，然后睡一觉。然后就。起床了以后就也还是很多，但是已经我能感受到它已经慢慢在变好，就是再缓和了一点。比如说昨天他可能就突然从一个小孩变成一个大学生这样子，高中生大学生这样子。我目前我自己能观察到，他确实单单靠陪伴就能去缓和这个东西或解决，这个也不是解决吧。能帮助到他吧，就不需要做一些很实质上的东西这样子？

海特(00:27:58): 你是怎么陪着他的？

Andy(00:28:05): 网上的视频，它也有讲一个方法，我尝试过，我觉得蛮有效的。他说就是如果你感受到身上有别的部分混合了，就比如说像刚刚那个典狱长什么，就先请他就不要站着那个意识的阻挡，就不要先不要跟我混合嘛。

Andy(00:28:31): 我就会想象监狱的画面，我就会想象我进了监狱里面陪他一起。他一开始我不是形容他就是那种抱着膝盖在那里坐着。我就跟他说。就没关系，我会陪着你，我也们也不需要解决一些什么东西，然后就这样子陪着他吧。

Andy(00:29:06): 我后来也有问过一个问我这个问题有问一下 AI 了，就是我需不需要一直这么专注的在陪着他，因为陪的久确实会无聊嘛，就是因为我脑海中一直想象那个画面，我就做不了别的东西，然后我就可能去。泡澡或者去睡觉，或者去买一点小东西这样子，我可能过个十几分钟或半小时，我就会。

Andy(00:29:33): 回来看一下，他就是告诉他我是一直这样子在陪着你，不是就没有离开，就只可能意识上会去做别的东西，但是我没有离开这样子。他慢慢。可能花了一一个下午的时间吧，就下午到晚上，到时候他就从那种抱着膝盖的卷曲状态，可能就只是坐着这样子。我也能感觉到他也还是在一个很伤的状态就是很郁郁闷的状态，但是他已经没有这样报的是这样子。只能低着头这样子在这坐着，然后可能又过了再陪着他，然后可能又过了。一个晚上。就比如说到周二。是不是找饿了？反正就是过了一个晚上，他可能从这样子坐着变得也还是在很伤的状，就很那种很郁闷的状态，但是他没有坐着的，他可能变着。站着在那不知道干嘛，就在那走来走去。他也是在很伤的状态，但是我能感觉到他从爆头到走的状态是它减缓了，就我不知道它减缓了多少，但是它在减缓，然后。他从走的状态。比如说昨天他可能就突然他的样子就变成了一个。

Andy(00:31:27): 大学生的状态这样子那个过程是这样子，我做了什么？我。其实我就做了两个东西，就是第一个是就这样陪着他，就可能每隔半个小时或一个小时或我突然想起来我就看一下他。状态也不是说看他状态怎么样，就是看他那个画面他在干嘛，然后去感受他，让他知道我在那里陪着他，其实是有在关注他的。然后第二件事就是他说想给他在的这个地方种就变成一个花草地，类似就是有花的一个草地。现在就变了，然后。那些铁柱好像也消失了。那个地方也还是那么大了，它也。类似牢房的大小，它变成了有点像是我在大学的时候，因为我们大学有一个草坡，我还蛮爱去那里的，它还是一个草的斜坡，然后有一些。梯级，然后它是面朝大海，就有点像，那它也还是在大概牢房的区域活动，然后那个保护者也还在旁边，但是那一根根铁柱不见了，然后他那里就变成我刚刚说那个草地的一个。

Andy(00:33:07): 设置这样子，就这是我最最新感受到它的一个状态吧。昨晚我妈她有类似慰问吧，我觉得是有一点。我是感受到一点不好的情绪的，就我妈就问我你，你什么时候回来香港。新工作的东西都准备好了嘛，就我他可能他觉得社会让我觉得有一点压力的感觉，就是那一刻他是。我能我一看见这个信息，然后我就会先不好的感受出来，然后我就立刻看向他就可能。有几秒钟他会从大学生的状态很快就退回到那个小孩的状态，我觉得健康的是。他可能用了几十秒或1分钟左右就去调整，他就从那个。小朋友很快就又稳定回那个大学生的状态，所以我不知道可能之后他会稳定在这个状态，但是我觉得可能发现某一些事情，他可能也会闪回去。

Andy(00:34:39): 类似对现在这种画面或状态类似会是这样子，我感觉。

海特(00:34:45): 当妈妈给到这一个关心慰问内在的小朋友，大学生。他是感受到了什么，又缩回到一个小朋友的状态，小孩子的状态。

Andy(00:35:08): 我那一刻感受到是他是不是觉得我搞不定他不信任我能搞得定。然后可能作为小朋友的那个阶段，就是不是要交给妈妈去帮我解决这个事情，或者是不是要交给别人去解决这个事情，就不要我自己去解决，因为我觉得。可能别人觉得我干不好。然后我觉得他现在用大学生的身份他就会更理解吧，那就是妈妈的关心，这样子他会就会自我去进行调节，也不需要。我太去。就怎么讲，就可能之前这个事情可能他要用更长的时间去消化吧，但是我觉得他从大学生闪回再变回大学生就是。从大学生变成小孩，再变回大学生这个过程。我感觉可能就是一两分钟的事情这样子！

海特(00:36:26): 从大学生变回小孩子，我觉得自己搞不定，好像不仅仅这一个感受会被妈妈的声音触发到。上周的那些恐慌之前谈到的，我担心进到新的工作，因为我没有办法很好的适应下来，甚至昨天的那一个梦。好像感受也是小孩子，我只是一个小孩子，好像什么都搞不定的一个感受。我选择躲在这里，我听这个声点。

Andy(00:37:19): 我现在这种陪伴就会成为他的支柱。其实我觉得搞不定背后的恐慌就是被抛弃的恐慌，就是因为会不会我搞不定就被爸妈抛弃被公司抛弃，或者是被什么抛弃，被某一个特定的对象抛弃。但是我觉得。我能感受得到我的陪伴是给了他底气的，就让他不用去退回那个小朋友很质疑自己的状态。我能感受到他一旦。他感受到被抛弃的恐惧它就会退回小孩子的状态。但是当他感受到我的陪伴以后，就是我不离不弃的陪伴嘛，就是我不会因为他怎么样而去抛弃他，我是告诉他，我一直在这里，我一直会陪着你。然后他就会自己变回一个大学生的状态，目前。

海特(00:38:43): 我始终没有放弃自己。无论遇到了什么，始终都在这里。

Andy(00:38:56): 然后他就会自己能消化掉这个感受，就可能也还会在这里吧，但是就会好很多了。

海特(00:39:06): 虽然有那么多的角色，小朋友或者变成了大学生典狱长或者说守门员。还有第三方陪伴他们的自己，这三个角色在某种意义上都是你的一部分。这一部分我也还好奇，好像我内在分化了不同的角色，其实他都是我自己。

Andy(00:39:47): 这么说也没错吧。

海特(00:39:49): 我自己陪伴我自己这一个陪伴的感受，它是怎么发生的？

Andy(00:40:05): 我感受一下，我也是可能说的不太清楚。

海特(00:40:10): 没关系。

Andy(00:40:13): 因为。因为所谓分开不同部分，我的某一些部分其实是为了让我更好去感受。如果你说整合到一个人身上，自己陪伴自己是什么感受。

Andy(00:41:00): 类似自我承诺我因为我能想象到比较贴近的感受就是半年前在学。精神分析的时候不是也有一个类似理想父母重新去养育自己，我觉得感受上比较贴切的会是。一个我也很难。归纳出准确来说，里面发生了什么？有点像。我自我陪伴了。自我承诺我也不知道。自我接纳我也不知道怎么讲这个事情。自如不是自我，不知道自我接纳，这个时候比较合适。就是可能我自我去接纳了，无论我是一个怎么样的状态，比如说可能工作不好，或者说是哪怕我工作不好，哪怕我搞砸了这个工作，哪怕我。怎么怎么样，我都。不会去讨厌自我，或者说是不会去放弃自我，觉得说我不知道这样形容确不确切，可能类似接近。

Andy(00:42:49): 感受吧，但是我觉得。我觉得有不知道为什么我对自我接纳这个词，感觉它会有点太过于理性，或者说是有条件式的，我感觉从。自我家庭系统出发，我觉得我会多了一种所谓的同情心，或同理心吧。我能不会心痛，我不知道是不是因为自我家庭系统它是从第三有点像是类似，是从第三者视角去看这个事情，我会有点心痛，为什么这个小孩他会？恐慌，或者说他为什么会这么害怕被抛弃，或者说是我面对他能感受到的巨大恐慌跟痛苦，我会觉得很。心痛吧，然后我觉得心痛其实是有帮助我去接纳跟陪伴他。

Andy(00:44:12): 对。

海特(00:44:16): 此时此刻感受到的自己是什么样子的？

Andy(00:44:24): 感受到了我自己。

Andy(00:44:41): 它就是我上网看内在家庭系统视频。他说行，没有行为模式能会改变，我从我自己现在能感受到的是，我觉得是。我心里的结构会不同了吧，就心理成员的结构会不同了，一开始那个画面就是。那个小孩在最里面，然后有一个铁柱保护网就隔绝了，他也隔绝了外面，然后典狱长就是拿着那本智慧之书，就是站在最外面去抵御一些危险或状况这样子。而我是很少参与集中，或者是我是主要跟典狱长那边一起去研究怎么去解决问题的，然后现在的心理结构会类似。

Andy(00:45:43): 就刚刚说有个草地就是蛮风平浪静的一个草地这样子，然后也还是那个小孩吧，其实他都是同一个人，只不过他现在以一个大学生的形象示人就还他还是那个小孩。他也是站在那块区域里面，然后在比较所谓比较里程一点，然后我就不是站在典狱长那边。陪伴着他作为我刚才讲支柱吧，一个地基，这就是我陪伴了他是我是最强的地级。那个监牢也没有了，典狱长的防御他没有那么强。他不会每一件事情都需要他去出手，昨晚我妈妈画，我觉得类似一个小的挑战吧。典狱长是没有出手的，我能感受得到那个情绪很直接就打进去了，穿透到了那个小孩的那一部分。然后他就是因为有我支撑他可能闪回到小孩可能1分钟，它自己又能消化完，又变回一个。

Andy(00:47:15): 大学生的形象就怎么讲，就现在的结构就是变成我的陪伴是支柱，然后那个小孩他能自我去。进行消化，所以那个典狱长他就从原本主要的位置就变成一个辅助的位置，就除非一些很大的危机，他才会。出手。然后现在变成主要应对的就变回那个小孩。就大概类似是这种感受。那个典狱长就是他从原本类似主要的防御者变成一个类似保镖的角色，就是他不会每一个事情他都跳出来，他可能真的有一个。很大威胁的敌人，他才会跳出来这样子。我觉得目前的。情境会是这样子。

海特(00:48:22): 我们具象一点是一个变化，当妈妈给到一个慰问。在之前那个小孩或者在监狱里面感受都是一样的恐慌，我好像又不被信任了。同样的感受，在之前那个小孩子可能会给妈妈面对这一个慰问会给到一个什么样的反应。那在此时此刻，你一个大学生在这一个草地里面，这一个更广阔的空间里，他又给到的是一个什么样的反应。

Andy(00:49:14): 我觉得。因为我很难讲，以前只能讲昨天感受那个画面就是在小他闪回回小孩那一部分出现的就是恐慌跟愤怒就是。你是不是认为我不行，你为什么觉得我不行比较。就是这种情绪吧，我觉得大学生的他就是会他就会开始，我感觉是那是自我沟通。他可能会讲有没有可能妈妈不是在不相信我们，而是说他就真的在关心，然后可能他不太会以我们能理解的方式去表达。他就会自己跟自己沟通，我觉得我想象的画面里，当然可能这几个部分都是我自己。我能想到，我在旁边也只是一个主打陪伴而已。他刚刚那些对话都是他自己在跟自己。就自动化的去做这件事情，对，然后他觉得那是妈**较关心，但是他不知道怎么去表达而已，不是不相信我们。然后可能他进行完这一番对话，他就从那个小孩的形象就闪回回。

Andy(00:51:05): 大学生的形象这样子。

海特(00:51:07): 给到的回应可能会有什么不同，比如说当大学生，他后来是怎么样回复他的妈妈的。小孩子在过去遇到类似的情况，可能又是一个什么样的回应？

Andy(00:51:27): 一下，我看一下我昨晚怎么回的。

Andy(00:51:45): 昨晚回的。

Andy(00:52:03): 诶。我找一下我手。电脑上可能没收到信息。我就他问我什么时候回去香港后天要上班了，安排你的工作做完没有，然后。明天回回去香港，然后都安排好了这样子。

Andy(00:52:39): 诶，是不是又卡？

海特(00:52:39): 刚才又卡住了，我刚听到明天回都安排好了？

Andy(00:52:46): 没有就这样简单的回复他们回复上。

海特(00:52:49): 如果是小孩子？

Andy(00:52:59): 感觉不回了吧，就不回应了，我感觉就不想回。因为感觉他对我有敌意嘛，我就不想回复他，不想跟他沟通。我不能因为我现在不能说大学生就是一个很理想的状态。因为我感觉那个大学生他也还是有一点点抑郁的状态，在那里他只不过。比抱着的小孩的状态更。更不同而已，但是他也隐隐有这种抑郁忧伤的感觉，我觉得不同的是，可能我小孩的状态，他可能就是这个人有敌意，我就不想跟他沟通。

Andy(00:53:57): 现在大学生的状态有点像是。你说的也就他有可能是对我们有敌意，但是有没有，也有可能他在关心我们，然后不懂得怎么表达。要不我们尝试一下去沟通看一下他是哪一种，类似这种状态的切换？

海特(00:54:24): 明白最后一个问题，刚才提到我把这一个监狱改造成了。草地或者花园改造的过程是如何发生的？

Andy(00:54:52): 真的靠脑子想象而已，就是想象一下这块地板。

海特(00:54:58): But. 

Andy(00:55:02): 给它种上一些草。可能过一会儿他就长满了草跟花。这样子我不知道是不是因为种了草以后它就自动贴合到我大学的时候的那个草坪的那个画面还是有点像。我决定要添加一些草进去跟花进去，它后面变成我大学时候草地的感觉就是自动完成。

海特(00:55:37): 还有一个问题，当我尝试成为我自己的。对自己的感受会有发生变化。

Andy(00:55:55): 刚刚卡了一下，你说尝试成为自己的什么会有感受的变化吗？是什么？自助。

海特(00:56:04): 我再重复一遍当我重重复一遍，当我尝试成为我自己的支柱，对自己的感受是否会发生变化？

Andy(00:56:20): 尝试。我觉得是有的。我觉得最大的变化就是对待这股恐慌情绪的感受。我记得你有一段时期不是讲说我很着急去解决我的问题，那个问题这股恐慌的情绪，就是我很想。干掉他说我不要这么恐慌，我不要这么孤单我不要这么抑郁。我觉得我现在态度是变了，我就觉得就也没有问题，这样就会抑郁，或者说是会心情不好，会恐慌，也没有问题。我就在这里接纳这股情绪就是不是想着怎么干掉他？不知道为什么这样想，以后会有一股很温暖的感觉在身体里面。

海特(00:57:42): 最后一点时间我想说我的感受，我好像感受到了那一股温暖的感觉，一股温暖。我感受到的部分，当然这一定是我的感受，它可能并不能完全代表你的感受，我还是要和你强调一下那股温暖，我好像感受到的就是你对自己的爱。

海特(00:58:08): 在过去，我们好像并没有非常坚定的站在我们自己这一边，甚至常站在自己的对立面。当外界给到一个负面的评价，在过去，我们那么害怕这个负面评价好像在某种程度上，因为我们会站在他们。那一边。是苛责自己评价自己。甚至所谓的攻击自己这一部分，我们在过去也有过很多的讨论，我对自己好像有那么多的。所谓的自我攻击，我做出了一个错误的决定，我没有做到一件对的事情，我会觉得自己。很糟糕。我会被审判典狱长审判会被守门员审判我。并没有站在真正的自己这一边，我站在了那一个守门员那一个典狱长的那一另一面，我和他一起来审判我自己。那个小孩子在过去的那个小孩子，他永远都是没有人陪伴孤单单的一个人，面对这一个残酷的世界。一个人面对所有的威胁，所有的危险，所有的这些可怕的情境，可怕的评价。此时此刻，我感受到那一个爱。我重新再回了。我尝试去理解小孩子的处境，所谓刚才提到的心痛的感觉。好像我也听到了一点点心疼的感觉，那个小孩子他一个人面对危险的世界不容易的。

海特(01:00:46): 傻孩子？不断的害怕，我这里没有做好，那里没有做好，可是当你重新站回那一边好像也会有一个这个所谓的支柱，好像也是一个理解那个小孩子是终于有了一个理解。这个事情可能他没有做好这个环境，他有一个危险的时刻，这并不是我的问题。我知道我都经历了什么，我知道是什么原因让我做出了这一个决定。我坚定的。和我的感受和我的想法站在一起。

Andy(01:01:47): 我也不知道有没有这么高尚。确实是。我觉得是确实是之前确实是会有站在外界那一边的？意见然后去鞭打我自己吧！

海特(01:02:12): 因为它一定依然是我的感受。他一定不能完全代表你这一部分，我们可以在之后继续来体会，继续来感受。

海特(01:02:29): 那今天我们可能就先停在这里，下一次咨询，下周我可能又要回到国外，所以我们依然回到原来原本的那个老时间。

海特(01:02:43): 周日的14点是方便的吗？又或者想要换一个时间。

Andy(01:02:49): 可以就周日的14点！
