Andy(00:00:00): 等一下，等一下开摄像。
Hite(00:04:28): 有之前遗留的问题，我今天我想和你先用。一点点时间去探讨。那我和你谈到8月份，当我们咨询到了一年的时候，可能需要涨价了。然后当时我告诉你，我可能要涨到200，然后跟我说，你希望可以给一点优惠，比如说180对我而言，其实这20块钱是 ok 的。就是我可以给到你这个优惠，但我还是想很好奇的和你讨论一下，就对我而言，可能每次20块并不是一个很大的损失，然后排放目前也可能确实没有靠资本来赚钱。但我不知道对你而言。这20块意味着什么？

Andy(00:05:30): 我在想要怎么回答？

Hite(00:05:35): 我不确定对你而言就是扎实开，确实很重要。

Andy(00:05:44): 我想一下该怎么回答？我觉得。现实来说，特别就经济上感觉是没有差到特别多吧，因为。怎么讲，最最主要就是翻倍了，然后其实减20块钱也差不了多少，但是都是从经济学精神的层面来说，就是感觉怎么讲。不再感觉别人就是感觉出价的话，感觉还是要喊一下，就是怎么讲。

Andy(00:06:48): 我不知道怎么讲。

Hite(00:06:54): 我不确定，比如说在你购买其他的商品的时候。帮对方出嫁了，我就觉得我应该要缓一下。

Andy(00:07:18): 我觉得这个问题比较尴尬，因为你是利益当时。

Hite(00:07:21): 没关系，无论答案是什么，我都可以给到你这个折就是180的这样一个折扣对我来说是没有问题的，所以你可以坦诚的告诉我。

Andy(00:07:33): 好。我感觉怎么？可能是我下意识的操作。因为我感觉。就怎么讲，就，其实简单来说就是在商讨的过程，然后我感觉对方如果一出嫁就直接答应的话，感觉就是会。不太好，对我不知道这个可能是跟我做售前有关，或者说是就怎么讲。这其实你提出加价对我来说就是有损我的利益的就是这么说明他有什么。就虽然我觉得主观就是客观上来说不能这么样去计算，但其实就是这么讲，就是你给出的 offer 其实是比之前要贵的就是有什么的价值。

Andy(00:08:42): 利益，然后。就如果你说从金钱上来说，就是可能是因为我是做售前，所以感觉就是还是要还一下价，然后我。就是还20，其实也没有到很多这样子，但是感觉还是要象征性还一下我的感觉第二个感觉就是。感觉精神上面就是好像感觉不让一步，就是有点比较，相对来说对等一样对等一点的感觉就是你可以要求加价，我也可以要求。

Andy(00:09:25): 给我打点折费，就是虽然加价我也能接受，但是给我一点折扣，好像双方就是各让一步这样子的感觉就是。对就是让我接受你加价的这个合理要求你也接受一下，毕竟是长期客户，然后就可能给点折扣这样子的要求，那双方都能接受，那就是一个比较好的。谢谢三。感觉是这样子。

Hite(00:09:53): 我也很好奇，当我当时提出到8月份的时候，我肯定要涨价了。就是涨价这个事情对你而言，刚才你也提到了，好像会就他也切实的在经济上算了，可以看做是损害了你的利益。我不知道你有什么样的感受？

Andy(00:10:26): 我觉得。怎么讲。我感觉他给我的利益是大于。暂时还大于这200块钱的，所以就比如说，如果你突然加到1000，那我就得很难加，就比如说这一个小时1000块钱就是能不能。超越我就是这个咨询带给我的价值，但是我目前就是感觉还可以吧，感觉好像比如说180或者200这样子。好像还在。接受范围之内感觉就是这样，然后至于我的利益损害就是这么讲，就是我一方面我是不太喜欢我的利益被损害，但是另外一方面我又觉得。就是毕竟过去了一年，你的专业能力也是在上升的，就不论是专业能力有没有上升，或者说是起码是你对我的了解跟第一年前是有差别。然后你经验起码算是更多了，起码是更多了，然后。感觉这个人是可以得到我们讲就是可以加价的，我觉得是合理。但是我又不希望这个加价太损害我的利益，所以我就说能不能有点责任感觉是这样子一个心理活动。

Hite(00:12:10): 所以哪怕是象征性的，给一点折扣。对你而言似乎都会好受一点。

Andy(00:12:20): 我感觉是的！

Hite(00:12:23): 当我告诉你，可能我可以给到这样一个折扣。

Andy(00:12:30): 就感觉挺好。

Hite(00:12:31): 你会有什么感受？如果我还是很强硬的说。我不接受。因为。从我的角度，就比如说从角度。比如说我在今年年初的时候，我针对其他的来访，我已经涨价到200以上了。所以我一直是以低价的费用再和你咨询，所以在一定程度上也可以看作是损害了作为咨询师的利益，所以如果我还是很强硬的说我不接受的话，不知道你又会有什么样的感触。

Hite(00:13:31): 当然我已经同意给你这个折扣了，你可以不用太担心。

Andy(00:13:33): 我知道，我感觉当时想一下就感觉很尴尬，就是怎么讲。

Andy(00:14:04): 就你就是你非要也不是非要比如说你选择了不答应，那我感觉就是我肯定也是会听一下你的理由。然后。怎么讲？

Andy(00:14:44): 我会感觉是那会就会有一种被闭步步紧逼的感觉，然后就我感觉也不是钱的问题，而是说。可能变相来说就是可能你在就比如说你选择的不答应的话，那我就会当然也要看你这样的，比如说你刚刚理由就是。

Andy(00:15:06): 我就会有点感觉，好像也不太容易沟通，然后那我就会在想，我觉得。就哪怕你强硬的要200块以后可能我也会感觉起码短时间内是可以接受的，但是我也会想在想。他可能对方未必是就我假设那个不是，你就是另外一个，比如说平行时空的，你这样子，就比如说那个咨询师就是可能在这方面不太好沟通，那比如说日后他要是再涨到比如说300，400的时候那。感觉可能也不是不太好沟通。那我感觉可能就是谁。会不会有别的选择可以对比一下，这样子就不是说这么讲。可能我比较在意的点是对方好不好沟通。对或者说啥，是不是一个很合理的状况，就比如说他可能跟我不知道，可能列一下，可能，比如说以他的经验，然后。一般可能在我深圳收的之前是都是。比如说都是多少钱，那我可能就觉得相对合理一点这样子。

Andy(00:16:38): 我的心理活动我更在意。对方是不是好沟通，就是坦白讲，对我来说，暂时来说，100到200是可以接受，但是我更担心的是可能后续的。

Andy(00:16:54): 处理容不容可以协商的这样子？

Hite(00:16:58): 我很强硬的话。会让你有什么样的？感受。如果我是这样一个不好沟通的状态。

Andy(00:17:12): 我的处理方法对方特别强硬的话，我一般都是不会表达我的想法。比如说如果你展现的态度是特别强硬，就是我就是要收这个价钱，然后可能也就是没有办法给我一个特别。

Hite(00:17:22): 所以我也。

Andy(00:17:33): 合理的理由吧。然后我就会。怎么讲，但是可能就因为我们咨询关系就是有一种需求关系就是可能暂时也没有办法取代，那我可能就是会。真的假就也是会继续付这个钱，但是我就会在想，那我有没有别的备选，如果万一以后发生更糟糕的事情，就更无法沟通，就感觉会。变得挺灾难的吧。对。

Hite(00:18:11): 如果我表现的很强硬。似乎就会让你想要逐渐的远离这段关系。

Andy(00:18:26): 我感觉！

Hite(00:18:31): 我也很好奇，都是当我表现的很强硬，当我又没有办法给到一个。足以让你信服的一个理由。那是什么。你依然没有办法告诉我你真实的想法。

Andy(00:19:00): 我就觉得会很无解，对方已经是一个很强硬的态度的话，比如说。因为我不说你就是我带着另外的，因为我可能情绪会带入，就比如说如果那个人，他坚持说我就要200。然后。那我这个事我能是可能反应我说。要么好，要么不好。不好，那对方又想说我要200，然后我就说不好，那我感觉就是没有一个这么讲结果吧。我感觉就是可能我也连尝试都不会尝试了那只能说那对方说200，那我就看我能不能接受，我不能接受，那就。那我就不做，那如果能接受，那我就继续做，就是感觉是这样子。

Hite(00:20:07): 刚才也似乎提到了。如果我表现的态度很强硬，似乎就是两个答案，要么我硬着头皮继续做，要么。我不接受，我觉得因为你很强硬，所以我觉得可能你是一个很不好沟通的形式，那我就拒绝，但是在背后似乎有很多的担心。

Hite(00:20:33): 比如说，当我很强硬的表示我这次要涨价到200，你也很担心，比如说半年或者一年之后，是不是又要涨价又要涨到更高300，500甚至更高？担心你会告诉我？

Andy(00:20:54): 不，我觉得不会！如果真的发生的话。

Hite(00:20:58): 是什么让你似乎不愿意告诉我这一部分。反而好像默默的将这段关系推得更远。

Andy(00:21:22): 比如说假设你真的很强硬。那其实在我的潜意识里面，就比如说。这怎么讲。这是我的怎么讲？这是我的怎么讲潜意识就会比如说可能把这个人。就原本是感觉还挺好商量的就是有方阵营，然后可能就突然变成他可能就是会损害我的利益，而且还不好沟通。那就变成可能是中立甚至是偏坏的证明。我感觉就是怎么讲。感觉如果对是中立阵营的，或甚至说是可能是敌方阵营的人。也不是说敌方就是可能会损害自己利益的阵营的人，那我感觉就是我会在想我要不要透露那么多的想法给对方知道这样子。因为。对会有这样一样的感觉，有点像是。你跳槽你不会跟你的老板说我要跳槽那种感觉就是就我不知道可能有他真的会跟老板商量的话我就会这样。

Hite(00:23:20): 如果你就是把刚才的担心在那样一个情境下告诉我，你担心可能会有什么样的后果。

Andy(00:23:38): 比如说直接聊崩了，那直接就不用做咨询了这段时间。

Hite(00:23:38): 我们模拟一下就是那样的谈话。可能会发生什么？

Andy(00:23:59): 我模拟不了，因为我会没问题。我感觉我的惯性就是这样。

Hite(00:24:09): 即使你的担心。也在为你自己的权益争取。似乎当我表现的是强硬的话。也依然无法表达。

Andy(00:24:35): 就这么说！怎么讲。我感觉我。周末刷视频的时候看见有个说法，他就是说每个人的缺。我们自己觉得这缺点。它存在都是某种程度上是会利益到我们的生存。我觉得我们之前有探讨过。就是怎么讲。就其实就我们之前有谈话，我选的那个方法其实是不是也是有意的，就是我感觉我的那个方法的逻辑就是如果对方真的感觉。要么就是没办法沟通，或者说是我感觉我怎么讲就是沟通，不过他可能有的人他口才特别就是哪怕你觉得。对方是理会的，但是你还是讲不过对方，然后那我就会感觉我的策略就是会那什么就是有点委曲求全的感觉，就是因为我感觉如果再聊的话，要是聊崩了，那就连眼前的。眼前现在有的利益就都没有了，那还不如就是算了，就是 c40然后就是先维持好眼前的利益，那如果未来。真的会恶化的话，那就比如说先找好后路。感觉就是这样子的感觉。

Andy(00:26:42): 就如果怎么就比如说，如果我们是咨询关系，我们聊崩了，那会有什么会有损我们眼前的利益，又比如说。那现在我就比如说我又没有找好下一个咨询师，然后现在我们又聊崩了，那比如说我接下来那两个月的咨询，那怎么办？对的那找工作也是一样，就是比如说。就比如说我真的，如果要跳槽，那我跟老板说了，那比如说老板如果就不给我发奖金了，或者说对我有什么不好的行为，那怎么办？

Andy(00:27:30): 感觉上次这个思路！

Hite(00:27:31): 似乎有很多的担心。我确定是什么让你感受到我表达了我那一部分的担心。可能就会让我们的谈话聊崩了。

Andy(00:27:56): 所以我感觉那里头已经展示你的立场。然后。怎么讲？是说有摇崩的风险，不是说百分之百会压分，但是我感觉还有聊崩的风险那我就不太想担这个风险。

Hite(00:28:24): 虽然我展示了，比如说我展示我的立场，我就是坚决的，比如说要200块，不然的话可能就有损我的利益。对你而言，你的担心也是真实存在的。如果我再涨价怎么办？我再往上又涨又翻倍怎么办？这样的一个担心，我就会一直悬挂在我们未来的咨询关系上。

Andy(00:28:48): 我感觉。我感觉也没有太大。

Hite(00:29:05): 所以。跟我直接聊。比如说。比如说我假设你是咨询师，我是来访者，然后我的咨询师就是跟我要求要涨价到200，我跟他表达，我可以接受，比如说200块的这样一个价格，我觉得这可能也是符合你目前的专业的能力的。但是我也很担心，比如说一年之后你会不会又涨价到400甚至更高，那可能是我没有办法负担得起的，但我又希望可以和你继续的长期咨询。我不知道你是怎么样去看待这个事情。

Andy(00:30:01): 比如说我是咨询师。

Hite(00:30:06): 如果你刚才用这样的方式来和我表达担心。

Andy(00:30:15): 我感觉我的主要目的是避免冲突！如果你是咨询师，不是你是来访者？我感觉我就是会也不是太喜欢起冲突，那我就说不用担心，就如果真的再调整的话，会先和你商量的。然后也是会合理的加价这样子。有可能会这样回答。

Hite(00:30:45): 如果表达了我的就是表达了这个担心的部分，对你而言，好像我们的咨询就会陷入到或者我们的对话，就会陷入到冲突的境地。而冲突就意味着我们的关系也许就会崩掉。也许我们接下来没有办法继续咨询。

Andy(00:31:09): 会有这样的害怕。

Hite(00:31:14): 这样的害怕似乎很强烈。

Andy(00:31:17): 还蛮强烈的。任何的关系我感觉都不太想触碰到这种会。我不能说争吵，就是对抗的局面。

Hite(00:31:29): 似乎在刚才我想邀请你去表达你真实的想法的时候。也表现出了一些尴尬的神情。

Andy(00:31:41): 因为对我来说，我感觉关卡这些比较冲突的场面就感觉已经很难堪，或者是很难搞，就是不管对象是不是你感觉。

Hite(00:31:51): 所以刚才我好奇是哪个部分，让你觉得特别尴尬。

Andy(00:32:06): 我感觉最难搞。我感觉你是这样，那很明显我们的立场是冲突的时候，我感觉我要说出这个对冲突的立场的时候。我感觉最难到的时候。对。

Hite(00:32:28): 当我明确的表达，我可以给到你折扣，我依然想听听你真实的想法的时候，似乎也依然。感觉很尴尬。我不知道在那个时候是什么让你毕竟如此尴尬。

Andy(00:32:53): 因为我感觉人是没有办法那么的。分隔事情就是我会感觉就是哪怕我们现在怎么讲模拟，但是毕竟这个事件的主角是你跟我就是难免会。

Andy(00:33:17): 带入的感觉我也在想，那如果比如说，虽然我觉得是平行，那你会不会想，比如说我。要是真的怎么讲，就如果比如说，那你会不会想，如果你坚持了200就是不降价这样的或者不打折扣这样子。andy 会不会，他可能就是会真的像他口中所说，他就会可能不爽，但是又不说这样啥，他会不会就觉得害怕，这样就害怕。这个价钱上的太多，然后它就会暗暗的去找对比一下，可能别的咨询师的价格，这样子就是就我感觉就是如果事件中是涉及到。

Andy(00:34:09): 我们两个的话就是怎么讲，当时然后就会感觉讲出来会比较尴尬一点的，但是也不是，其实之前比如说之前的咨询中你模拟。别的人的时候我感觉也是挺尴尬，但是因为你是当时的虽然是平行宇宙的，或者是不是另外一个情况的事情，但是我感觉也更改更加尴尬，因为你是那个当事人。感觉是这样子。

Hite(00:34:40): 当比如说我就是强硬的要求要涨价。全部给余地。你硬着头皮答应你刚才说的。也是。你就会开始谋划找下一个咨询师。这样的担心，就会一直悬在我们咨询关系里影响我们咨询的进展。

Andy(00:35:13): 感觉是这样，有机会就是另外一个发展的。方向。对。

Hite(00:35:25): 所以我也很好奇从你的角度。这样的。情况。他是怎么伤害我们的关系？

Andy(00:35:52): 我觉得也不能说是伤害就是怎么讲？因为我的观点是，比如说两个人的。利益是真的不一样，我觉得。这么讲。因为我感觉如果两个人起冲突了，就是当然不是说1000就是很无关紧要的事情。如果是在一些加核心的问题上，就是我们起冲突。就比如说我们的话是比如说你要加咨询费，因为你，你觉得你的资历上去了，那假设真的是到一个我没有办法负担的。费用的时候，那对于我来说我没有足够的预算去做心理咨询，就比如说我的预算只够一个月，按照你的。如果按照一个高不可攀的咨询费的话，那我可能一个月只能做一次，那其实对我来说是不利的，然后我感觉要是你还是很强硬的坚持的话，那其实我们的。怎么讲。你们的立场就是很极冲突了，我觉得。

Hite(00:37:26): 对。

Andy(00:37:32): 我觉得就分开不是一个坏事情，就比如说可能你可以找到一个比较适合的客户。我可能也要再找一个更。怎么讲更负担得起的咨询师这样子，因为我觉得就是我觉得这个也没有说是伤不伤害或者说吧，因为我感觉就是。就是有时候关系也看缘分吧，就是比如说就我不知道我就是我乱说，就比如说，可能我们刚开始就是可能你。你刚开始咨询，就是可能经验也没有很多，然后我也刚开始被咨询，我也不需要说一个很有经验的人去我们一起去做这样子，那我们就是一个很好的。一个合作的关系，但是如果比如说真的到了某一天，就是因为你也越来越专业，可能你学的知识也越来越多，那又真的到一个我没有办法负担的。

Andy(00:38:42): 时间，我感觉就是因缘际会觉得事业的发展，那我总不可能要求你。维系我也不好意思让你维持一个。就比别人都低的费率，那我觉得这会有损你的利益就是我觉得一个立场冲突很难解决，原因就是我不想牺牲你的利益，因为我觉得你的需求是正常的。然后我也不想牺牲我的利益，因为我不可能伤害我自己，那我感觉就是分开，其实也是一个不错的选择。对会有种感觉。

Hite(00:39:30): 我可能把我的问题表达的再清楚一点，就是确实，如果比如说，当我的价格提高到了你没有办法接受的地步，那一次花更高昂的咨询费用可能对你的心理的伤害更大。

Hite(00:39:47): 就是可能确实会有这样的一个情况，但是我可能刚才想表达的是，比如说当200块可能也是一个你能够接受的范围，同时就是这样的一个咨询费用，他这样的一个咨询费用的咨询，他给到你的可能依然比如说比这个价格是更多的。

Andy(00:40:00): 不知道。

Hite(00:40:07): 因为我很强硬的表达，我不愿意让步，哪怕给一个象征性的折扣。而与此同时。你也没有告诉我你的担心，因为感受到了我的强硬，所以然后咨询师让你感受到在咨询师面前你没有办法很好的沟通。没有办法去表达你的这些担心，也许也会在未来的咨询里面没有办法更加真实的去表达你自己真实的想法。

Hite(00:40:43): 与此同时。在咨询的过程当中。始终要担心着。我会不会又涨价？我不确定是否甚至更严重的情况，我先硬着头皮按这个咨询费用就是去咨询一个月，然后同时我再找下一个咨询师。找到了我就把你换掉。然后在下一个咨询师那里从头开始。反而似乎因为这20块钱每一次的差异损失了，也许你能够获得的更多东西。

Andy(00:41:24): 我感觉这样说，我确实是会这样子。我也不太好。

Hite(00:41:40): 当然这是我的一个，我讲的一定是一个可能性，它不一定是真的会这么发生。

Andy(00:41:44): 但是听起来感觉像是会是这样子。

Hite(00:41:56): 但是。我不知道对你而言，你怎么看待这样可能性。

Andy(00:42:16): 我也不知道。

Andy(00:42:34): 我感觉。我感觉我也不知道，因为我好像没有办法想象另外一种可能性，除了这样子解决，还能怎么样去解决。

Hite(00:42:57): 因为我之所以谈到这一个部分，也是因为我想到我刚刚才我们的对话，我也想联想到去年。我们有一次咨询是我们最初咨询的那几个月里面你跟我谈到有一些曾经你的朋友都是。他们你们相处的过程当中可能会有一些让你没有那么愉快的事情，然后你觉得可能会有压力的部分。之类的，好像你就会默默的远离那些朋友就是默默的结束那些关系。

Andy(00:43:42): 感觉是这样。如果要这样，因为我也不太记得，但是感觉是这样，我感觉好像我对关系缺乏一种期待去塑造他的。一个希望或者期望这样子，我感觉好像关系就是没有办法被塑造的，或者说是我可能也不希望他被塑造。这样子的一个感觉！

Hite(00:44:21): 即使如果你做出一些努力，那些关系可以被经营成你想要的样子？

Andy(00:44:35): 我感觉可能是我没有这方面的体验就比较难去视线画出来。

Hite(00:44:41): 如果已经明确的当我表达了我一定会给到你这个折扣。那我不知道你是否？可以也试着。比如说我们在做一些模拟。你也是最后表达，如果当我表达了，我就是要涨价到200块。我觉得不然可能会损害我的利益。比如说同同样资历的咨询师，他们可能收费比我更高。然后我其他的来访，我也收他们更高的费用，所以我觉得对我们未来的咨询人而言，200块是我能够接受的，也许是最低的一个价格。

Hite(00:45:42): 你要怎么样向我去争取你的利益？你没有办法表达也没有关系。

Andy(00:45:54): 我尝试一下，因为我感觉真的不太擅长对方很强硬的，也不是说很强，就是他很清楚的表达的意思。的时候怎么跟大家沟通，要不。那我可能会说。

Andy(00:46:28): 我不知道说什么。

Hite(00:46:30): 没有工资，想不到也没有关系。

Andy(00:46:34): 想尝试一下，既然你都那么真诚的邀请我讲。我感觉还是会先赞同地方，我觉得确实专业能力增长收费高是高一点是很正常。

Andy(00:46:57): 怎么讲。所以我不是不太知道怎么塑造我们的关系不怎么想。

Hite(00:47:13): 不用塑造我们的关系，你就是直接的表达你的感受，比如说。我就是面对这样的一个情况，我可以接受，但是我觉得很难过，因为我们共同咨询了那么长时间。你好像却并没有站在我的这一边。或者诸如此类的。

Hite(00:47:50): 你真实的感受。真实的担心！真实的想法！

Andy(00:47:56): 好，那我尝试表达一下。我感觉专业变强了，收费要提高很正常。我主要担心的是。主要是我们咨询频率很高，然后就有就现在是两次，一周两次，然后一个月八次或者以上这样子。那如果200块钱，那就是1600就是也是一笔不小的数字，然后就是可能对我来说也是有一点压力，然后我也害怕，因为这样可能就。要减少咨询的次数，如果以后要再加价的话，那就感觉就更大压力了。我对感觉变成200，我感觉站起来是可以接受，但是就是会比较担心之后，然后也对。我们可能会降低咨询频次会有改。大概是这样子的想法。我感觉我。只能以这么软的表达方法去表达。

Hite(00:49:28): 我不知道在刚才你在尝试去做这些表达的时候，你有什么样的感受？

Andy(00:49:40): 感觉好像能说出我。我想说的，然后但是又会可能会有点担心对方会，就比如说会突然就如果真实的说话，就可能会担心你会。就我很容易联想到一些比较暴怒的场景。

Hite(00:50:16): 我会怎么暴怒？

Andy(00:50:19): 就比如说，就我觉得你不会，但是我脑子脑海里面会留下，就是就比如说拍桌子，然后说难道我的专业能力就不止这200块钱吗？然后。或者说专业，如果你之后讲讲我的专业就不值得400块钱，然后我就会联想到之前。画面吧，我感觉。

Hite(00:50:41): 有谁这样对过你？

Andy(00:50:45): 我会联想到你会很生气的大米。

Hite(00:50:51): 有谁曾经这样对待过你吗？

Andy(00:50:57): 我感觉我女朋友优势，我进去了吧，太牛了，小时候的话。也不太记得，可能我爸爸，我没有特别清晰的记忆。

Hite(00:51:17): 当你如此害怕这样的一个局面。你是怎么样应对女朋友这样对待你的？

Andy(00:51:30): 我感觉是用我惯常的做法，我说好心理上面有点远离他。

Hite(00:51:37): 所以又将这段关系默默的往更远的方向推走。

Andy(00:51:44): 有点像这样的感觉。

Hite(00:51:52): 当你表达这些担忧的时候。对方还有可能是什么样的反应？

Andy(00:52:03): 主要是我不知道我就会担心最糟糕的画面就是对方会是暴露。

Hite(00:52:10): 对方暴怒对你而言意味着什么？

Andy(00:52:14): 这段关系破灭。对。

Andy(00:52:22): 怎么讲。虽然说长痛不如短痛，但是我还是希望不要痛得那么快就大等我准备好了再通知道吗？

Hite(00:52:34): 除了这段关系破灭。对方的暴怒！对你而言还有别的意义吗？

Andy(00:52:41): 我就会感觉好像暴怒是我造成的。或者是这种关系的破灭是我造成的。

Hite(00:52:46): 所以对方的暴怒是你的问题是你造成的。

Andy(00:52:55): 对好像我得对暴露去负责这样子。

Hite(00:52:59): 即使你正常的，温和的。表达了你真实的感受。担心。想法。

Andy(00:53:14): 所以我是特别羡慕那些。就怎么。既鄙视又很仰望那些人就是可以不讲理，然后就直接拍桌子，然后就开始骂街，或者是忤逆学校的。这算是说，我觉得理性上面我会有点鄙视他，怎么这么不讲，就比如说工作上面可能会肯定会遇到一些这样的人，但是又很佩服他。他怎么有勇气跟信心可以这么理直气壮的讲出一些不合理的东西。我确实连合理的东西我都不敢这么理直气壮的讲出来。就会这样的感觉。

Hite(00:54:07): 因为今天咨询时间关系，我们可能只能讨论到这里，然后我想今天在我们段咨询关系里面的这一个话题，似乎其实也是我们之前讨论的很多的事件。包括和女朋友相处的时候，我们好像总是当对方一暴怒，一生气，或者一有情绪，好像我们就。不知所措，我们只能点头答应，我们就只能被推到悬崖边，等到我忍无可忍的时候，用冷暴力的方式把对方逼走。

Hite(00:54:47): 有点类似于之前谈到的，在和同事相处的过程当中，我即使是表达我真实的想法，我认为是对的观点。

Andy(00:54:48): 都是。

Hite(00:55:00): 都有很多的担心都有很多的。不知所措。也包括像刚才我们的这一段演练里。你表达的也都是你真实的感受你真实的诉求。你合理的想法。也许两个人都在表达合理的想法。但是似乎对你而言，如果我表达了我合理的诉求。好像我就会把这段关系搞砸。甚至会造成对方的暴怒，而这一切都是我的。我要去承担的后果。

Hite(00:55:42): 那是什么。让那位暴露的咨询师不用承担后果？那位咨询师在面对你合理的诉求的情况下，它有这么大的情绪反应，为什么要你来为他的情绪买单，而不是他自己为他自己的情绪负责？这也许是我们接下来要探讨的一个话题，我想也可以从我们的咨询关系里面展开的。去探讨。去分享你的感受。

Hite(00:56:20): 然后今天因为这些时间的关系，我可能最后问一个问题，我也不确定真实的想法是否还有什么没有告诉我的，当我提出我要涨价，即使我愿意给你折扣，我不知道是否也会有一些。其他真实的诉求。或者担心是你没有告诉我的？

Andy(00:56:36): 也没有，主要是刚刚透过演练讲出来，就是可能就是害怕。涨价以后频次，不知道可能会有会降低，然后也担心可能会不会，未来就是多久涨一次价。如果以后要再涨价，那怎么处理吧，就是会有点担心，这样子你是觉得不行，所以还有一部分。

Hite(00:57:05): 我也很高兴你告诉我你的担心，这让我有机会可以回应你的担心，然后关于咨询费用的问题，我确实就是对我自己的考量也是。无论是过去一年我的专业积累，还是包括我当时给到你的这个价格其实都是非常公益的咨询价格，因为如果你了解或者你去看深圳这边，比如说线下的那些咨询机构。如果你去尝试一下，你就知道他们都没有我专业，他们一次收费可能要8万。然后，与此同时，其他相关资历的咨询师哪怕是很多新手自行车，他们可能都是收费到200到300，因为其实300在我们咨询心理咨询行业并不是算是一个基础的价格。当时给到100块的这样一个价格，也是因为我确实当时也是比较新手，然后我也希望就是包括当时我们也是做公益认识的，然后我也希望可以给到一个公益的价格，我觉得我自己在当时可能也对得起这个价格吧，然后。

Andy(00:58:09): 确实。

Hite(00:58:11): 所以我觉得我同时我也不靠，目前还不靠赚钱，所以我也愿意给到这样一个价格，但是在现在我之所以我厂家的诉求也是确实也是因为。这样的一个价格，我们其实咨询了非常多次，然后还有一年的时间，在一定程度上就是对我自己感觉我也觉得好像损害到了我自己的力的部分。然后如果继续以这样一个价格持续下去的话，对我而言就是对我们咨询关系而言是不利的，因为它会损害到我对你的投入度损害到我们的。

Hite(00:58:44): 这个咨询的接下来的过程，就是我出于对我自己的利益考量，我希望要我需要对你提出这样一个诉求。一年的这样一个时间节点，我需要涨价。然后这是我的一个考量，但是对你而言，你用你的考量，你用你的诉求，我也很高兴，你告诉我，哪怕是象征性的。就是我给到你一个折扣，也许你心里都会好受一点，然后我也很愿意去接受，就是这样的一个象征性的一个折扣，因为它对我而言。它并没有在很大程度上影响到我的利益，所以就是我愿意接受这样的一个空。当然如果你有其他的。想法或者其他的一些意见的话，你可以下一次咨询的时候告诉我，因为我现在有另外一个咨询，所以我们今天可能只能先讨论到这里，然后我们周六的时候可以再对你刚才提出的另外两个问题做一些回应。

Andy(00:59:49): 好没问题，那不打扰你，下一次咨询。

Hite(00:59:52): 我们就周六再见拜拜！

Andy(00:59:56): 好拜拜。
