Andy(00:02:07): Hello. Hello. 

海特(00:02:13): Hello, Andy? 

海特(00:02:24): 好像有点听不清诶！
Andy(00:13:52): 说实话也挺不舒服的。确实也没有到自己的分量这种感觉。如果看回去的话，我可能我这种恐惧其实就是想要回避掉，比如说面试不顺利，或者是投简历没有人邀请我去面试的。不适感，或者说是可能对我来说就会有一点。羞耻感有就是我会在想，会不会是，比如说是不是我的简历写的不好，或者说是不是我这2月两年半以来建立的一些工作经历其实并不受到什么市场的认可？

Andy(00:14:55): 是不是我要那大家不用我是不是要改变一下我的方向，我感觉就是。面对这些结果，我希望我自己是客观中立一点，我确实也没办法做到，然后还是会有一些。微弱可能的版权，我感觉那时候不太想面对这样的一种可能会。带了10多个，那现在确实也背不到那些或者说是面试不成功的话。就当客观上我知道，比如说他邀请的职位其实跟我工作，我期望的职位根本不一样的，但是因为你也付出了精力跟时间，然后没有结果的话还是会有。不开心的时候。确实他也没有严重到，比如说。就不会严重到死这种程度，当然我也开始反思一下是不是我比如说我表述出来什么并不容易让人理解到。

Andy(00:16:23): 工作经历，那我觉得就是有点像在一边前进一边修改，然后一边。碰瓷，但是又在改进的一个过程。就是所谓的踏出舒适圈的感觉。

海特(00:16:45): 这些不开心，失落的感受，它一定会在这种结果不达预期的时候存在和出现在过去。没有办法面对这些感受，我好害怕会出现这些情况，所以迟迟不能开始。到此刻，我能够开始了，即使有这些不顺利的情况出现，有这些不开心失落的感受出现，我也能承受了。

Andy(00:17:30): Exper. 

海特(00:17:32): 这样两个过程，两个阶段之间的变化。那是怎么发生的？

Andy(00:17:42): 怎么从恐惧到行动？

海特(00:17:51): 对或者说当时那么的恐惧，觉得我没有办法承受这一切，到此刻，它即使真的发生了，但是虽然失落，可是你依然承受得下来。这个过程是怎么发生的？

Andy(00:18:12): 我觉得是怕不去行动会的代价会更大的，就比起可能会有一可能会有多一些思路。

海特(00:18:18): 这个过程是怎么发生的？

Andy(00:18:24): 对，就比如说跟阿没有说好这次工作的机会。A. 

Andy(00:18:31): 当然，最后可能发现其实市面上的工作机会也并没有我现在这份好，那我觉得。那起码我也解开了我心里面的谜团，原来这份工作还蛮不错的，在市场里面也蛮符合我们目前的可能。对可能市场认可的一个职位或者说是价值这样子，所以就起码有个答案吧，就我是不是可以得到一份更好的工作，我不知道这份工作可能还要在。我们历练一点这样子。

海特(00:19:16): 当这一个可能不顺利的情境真的出现了不开心，失落不舒服。它没有过去想象中的那么可怕，这样就是像过去想象中像濒死一样的感觉。

海特(00:19:42): 这些感受是可以承受的吗？这些不开心和失落。

Andy(00:19:50): 是可以承受的可能，比如说昨天面试可能昨天会比较强烈。但是昨天比如说昨天晚上我又去深圳，然后去见我女朋友，那其实已经见面的时候，其实那个感觉就已经忘掉了。

Andy(00:20:12): 后期几乎没有，那我现在谈这个事情的时候，也会有一点勾起这种失落的感觉，或者说是可能我比如说回到香港，我一个人再去投简历的时候，可能也会。抱不起这种失落的感觉，我感觉可能再过个几天一周，我感觉已经会快的很多。

海特(00:20:38): 这些失落的感受，它有没有一些积极的作用？

Andy(00:20:41): 对。怎么去定义为机体的作用？

海特(00:20:53): 比如说当你谈到我面对这个可能不顺利的结果，我在反思我是不是有哪一些表达可以表达的更加的精进，更加的清晰？我的简历是不是还有一些可以跟调整的更完善的地方，这些负面的感受好像也反而成了一个动力？推将你推上一个更加。完善更加有胜任力表表达更清晰的这样一个方向。

Andy(00:21:24): Any. 

Andy(00:21:37): 我觉得是有的。刚刚说就是因为我很久没有面试了，然后就我可能昨天一昨天事后探讨的话，我感觉确实有些地方可能我也组织的没有很好。

Andy(00:22:02): 下一次面试的时候可以用一个方式去呈现出来，会更容易去让别人去。理解这样子对，所以我觉得他对于我下一次或之后的。有很大帮助的，我客观利益上来说。

海特(00:22:33): 所以，当这些感受，一方面虽然失落不开心，但一方面他可以被承受，可以被通过，比如说我去找女朋友等等的方式消解。同时，它也依然会有一些积极的作用，帮助我去做得更好，这些感受还会像之前。

海特(00:22:58): 所担心的那样那么可怕吗？

Andy(00:23:14): 很可怕的，最后是能战胜他的这样子。有点像这种感觉。

海特(00:23:30): 当面试前一天，虽然我很紧张，可是我依然和紧张能够很好的共存。我依然早早的睡觉，依然能够早早的起床去准备这些紧张也没有真的杀死你。

海特(00:23:59): 我依然早早的睡觉，依然能够早早的起床去准备这些紧张也没有真的杀死你，我想此刻我们可以去厘清这样一个概念。在过去，我们很担心会发生一些可怕的事情，比如三，4月份在去投简历之前，我担心简历不被回应。这可能会给我带来一个非常负面的感受，这个事件从我们心理学的角度来看，事件是没有。除非他真的会有一些物理性的攻击，他是不能够去伤害到我们的，那之所以伤害到我们，也是因为对于这个事件，他给我们带来的感受。

海特(00:24:44): 伤害到了我们事件，我们面对这个事件，我们可能会有不同的解读带来不一样的感受。那在过去我不敢去投简历，我担心会没有一个好的结果，而没有回应的结果可能会让我非常的受挫。可能会有挫败的感受，失落的感受。对自己失望等等很多的感受，也包括像昨天面试不顺利，那这些感受也都出现了。

海特(00:25:28): 不舒服，不开心，失落失望这些感受它一定会出现，可是它并没有那么可怕。你们过去担心出现的那些感受并不会真的杀死你，反而你能够和它共存，它可以慢慢的消散。同时也会督促你去做得更好，有一定的积极作用，我不知道这样去想，或者说这样的。领悟会让你的恐惧和担心，它也稍微消散，或者稍微小那么一点点吗？

Andy(00:26:19): 我觉得并没有。虽然他可能不会物理意义上杀死我，但是他确实也让我存在一个比较难受的。

海特(00:26:26): 依然。

Andy(00:26:39): 状态吧，但是我怎么讲，我昨天就是也有跟那个 AI 聊天，然后还有引用一个我们上次咨询的话，我觉得有大概率。你上次咨询也有讲，就是可能我们一开始很犹豫要不要换工作，然后到犹豫要不要被久力到？只能到最后真的有面试去面试，就其实这一个过程已经是一个很大的成长。这个版就给了我蛮大的力量这样子。

海特(00:27:35): 可以展开说吗？跨这一步的跨越。它如何给到你很大的力量？

Andy(00:27:47): 因为其实虽然说我很难控制我的期望了，就我控制不了我的期望了。然后虽然我很希望，如果我对又怎么讲，就是因为比如说像佛学，然后我是觉得心理学也有类似的，这样我就是。就不要带着期望，就尽可能不要带着期望去做一件事情，可能你就专注在当下的那个，在这个东西比较，比如说可能在专注在准备面试或者专注在面试。不要太过去期待会有一个好结果或者去预想一个坏的结果，这样子，我感觉我还是很难去。做到才能改，都是我结果导向的思考会让我很痛！难受跟恐惧，但是就你的上次讲法就是就它不是以一个结果的导向，而是一个。自我成长的角度去看，那你就比如说我 andy 半年前还在很犹豫，或一年前半年前也还在很。鱿鱼要不要工作办工作。That's all the. 现在一一两个月一个月之前开始投简历，两个月之前开始投简历，那一个月之前开始投简历，那到最后就昨天有一场面试去面试。我觉得就因为他没有太强调，比如说，然后简历改的好不好，或者说是因为。你有没有得到面试的机会，或者说你的面试有没有得到一个 offer，How. 更强调的是，其实你有没有跟我有没有？

Andy(00:30:08): 持进持续的推进到下一个阶段，因为就那才是我可以去。掌控的一个东西，我觉得有会把我从那个很从结果焦虑的思维带回去，我自己身上。所以让我会平静了一点，我就会觉得我确实有在一层的推进，这样子，我就会。

Andy(00:30:44): 我就会没的那种。我就会我没的那种低价讲，说实话，我觉得比如说像是说，比如说投简历没回，或者说是。或者说是面试可能结果不好，就他其实是会有一点像搭讪，比如说你搭讪一个女生没有聊到手机号和微信号。虽然说我理性上很清楚，就跟面试一样，他是讲天时地利人和可能跟我这个人本身关系都甚至不太大。我就会很容易拒绝联系到我自身的价值上，我就会引发到一些低价值感的。带同学对那个想法就会，我知道。

Andy(00:31:54): 就这么说，就是重新引导回自身的成长上，我就专注在自己，我有没有做好这件事情，看有没有在推进，那有的话就是一个。好孩子也不是好孩子，我是个做得好这样，所以我觉得这个带给我内心认可的力量会。会比较好一点。

海特(00:32:29): 似乎感受到你很敏锐的察觉到了那样一个负面结果带来的低价值的感受，包括刚才提到。有一个点，当然这是我的感受，如果我出去面试之后，我就通过投了这圈简历之后发现大家这个市场对我的这个工作岗位依然是非常认可的。我似乎就能够更加满意的对待现在的这份工作更加满足的留在现在这份工作里。我是否可以理解为此刻我特别想要往出去看看。

海特(00:33:21): 我特别想要跳出去，是因为我很担心当前这一份工作，它并没有在市场上很高的价值，而因为我做的这份工作没有很高的价值。很担心。这也等同于你没有很高的价值。

Andy(00:33:48): 你这个讲法我觉得。

海特(00:33:56): 不准确。

Andy(00:34:00): 我也不知道是不是我觉得我感觉对的部分是。我确实会把比如说外界给我的，比如说薪资定位为我这个人有多少的价值，虽然说听起来也没啥毛病。我想。但是我觉得你的说法也成立，比如说可能另外一家公司可能给我开出更高的年薪这样子。更高的薪资这样子，那我肯定会对他，我过去这两年半是做对了，你就选择，我就在这工作，那比如说外面的。可能工作机会都不太好，我就会觉得那我是不是做错了决策，其实在比如说可能一年半之前刚开始思考要不要离职的时候就应该要去换工作，而不是说做这么久。这确实会有影响到面试的结果也是会影响到我对现在这份工作的，或者是比如说现在这种工作，倒不如说是我以往决策的一些，你想一想。

海特(00:35:33): 上次咨询我没有谈到这样一个画面，在平静的海边有一个很坚固的自我。虽然上一周我被客户用非常负面的语言评价了，但是他并没有真的影响到我对自己的判断。刚才提到的这些场景，无论是一个不顺利的面试，还是可能市场上新的。可能薪资上一个正面或者负面的反馈，好像都会影响到这一个坚固的自我。

Andy(00:36:22): 我其实刚刚这样想，我觉得。以结果为导向，这个想法并不太健康就怎么讲。

Andy(00:36:40): 我觉得如果是想要那种比较坚固，内心不会动摇的想法，我觉得是你，我觉得没有。努力在做我当下的觉得之后有没有努力在做当下的工作，那只要我努力在做了再推进。

Andy(00:37:11): 那刚刚那个比例就是只要我这个石头是坚固的海浪有时候会高，有时候会低，可能做事的那个结果，它会有时候是会好，有时候会坏。一样不用怎么去理海浪或环境，那我就做好我这个石头要对我自己。

Andy(00:37:36): 我觉得以自我为导向会比较好，不然。And. 因为人总会有不顺的时候，不可能永远都是。哪怕你做的再好，那个结果有机会也都是会差的，那我感觉我的问问题就是爱你那个结果为等同于我自我的。你是价值的维度了，我就会很动词吧，我觉得在这段时间就是比如说 Are pronounced. 没有很多公司给我面试过，就面试不太顺利，那比如说像这次面试可能他要请的岗位根本就跟我不符。他其实也这样想，其实我觉得也不太管我表现的好不好，我自己对，就我理性上我觉得单以自我为出发是更好了，但是。感觉也是要时间去调整成想法。

海特(00:38:49): 那我们先来看看过去这一个想法，它是怎么出现的，我的价值当？市面上给我的薪资处于在一个还不错的水平，当我去应付了一个比较高难度的面试，或者我拿到了一个很市场上很受认可的职位。我的价值好像因此得到了确认。没有外界的，无论是薪资还是市场认可的确认我的价值好像就彻底不复存在了。

海特(00:39:43): 吃什么让你坚定或者说在过去相信。只有我获得了一个工作上的认可，或者说我的价值和工作非常强的绑定在一起，失去了这份工作，一份体面的工作，我好像是彻底没有价值的。

Andy(00:40:09): 说实话我觉得还蛮受。可能平常接触的一些事，环境的影响，就比如说有时候看这最近。要再久远一点，可能都要再去看他就比如说怎么讲。就比如说我很爱看，比如说伤心类的视频，或者说是看一些房地产的视频，或者说是放一些社会性的。视频，然后就比如说可能相信可能他会就会怕这个没有什么是年收入多少，做什么工作，是不是有房有车？这些，虽然我知道，因为他拍视频他肯定会选一些可能离了大谱的一些案例，就比如说其实那个女生提的要求很不合理。我觉得他可能也造成我无形之中会觉得那还是说这个社会上就衡量一个人的价值会，比如说从他的。收入这样子去衡量，那你就我就会觉得，比如说可能女生，她就会很看重。就我觉得这个就会把它能处理成我的价值的一部分。

Andy(00:42:03): 怎么讲。那其实我也有想过，那如果比如说一个人不工作的话，那他的价值是怎么样就怎么样，我觉得我也没有一个答案，或者说是。因为是不是只要我比如说不结婚，也不是说不结婚吧，就是可能不太特意去为结婚去准备这些条件，那我是不是就会自由很多，比如就不用。

Andy(00:42:35): 在很刻意的去存钱，然后可能刻意的去找一份很高收入的风，这样子。

Andy(00:42:46): 我都会也会这样想，但是可能也是会受是真视频，然后就在比如说有一些看似很励志的视频，就比如说可能。说现在，比如说像是什么清华的研究生，然后。找不到工作，但是没有因此而在家啃老，然后去跑外卖了，然后讲的很励志，然后我就会觉得。有时候我会觉得他并不是真的在。我会可能得到一个不同的信息，他们这个可能，比如说做外卖的。可能社会等级会低一点，这样子，我也很不想被这套思维去。束缚就因为我本身我觉得我一开始也是。喜欢用，比如说金钱跟收入这些去衡量的可能。可能就这样子，潜移默化就会觉得收入也是一个人的价值的很大的一部分。

海特(00:44:19): 刚才谈到，一开始并没有世俗定义价值，可能就是用这个钱来衡量钱，就是等同于价值。在很多世俗社会的这个评判的标准里，有没有价值，我给你更多的钱，就意味着你更有价值。

海特(00:44:43): 你刚才也提到，似乎在一开始并不是这样子的，一开始对你而言，你更看重的是什么？

Andy(00:44:56): 是你刚刚稍微有点卡，你是问我一开始是怎么想的，就如果不是收入等于价值的话。

海特(00:45:03): 一开始对刚才你提到可能一开始你并没有把钱看得那么重，所以我很好奇，可能抛去这一些社会，世俗的对一个人价值观的判断和影响，在可能更早期的时候。

海特(00:45:25): 你真正看重的是什么？

Andy(00:45:45): 我觉得一开始的价值我觉得也蛮是蛮理想的，比如说我觉得其实每个人的价值都是一样的，或者说是。他真正的。我会想象一个场景。可能我们每个人都抹掉一些外在的东西，比如说我们的相貌用法的所有！翻什么，就比如说可能就是两个能量比这样子去做交流，那我感觉。去感受对方的人是怎么样子，是不是过得开心，这样子。

Andy(00:46:43): 那个价值是一样的，或者说是他可能解决你的到底有多爱情。

海特(00:46:55): 我是否可以理解为，那时候你真正看重的是一方面两个人比感受彼此，或者说两个人的关系。是否我是足够的？亲密融洽第二。

Andy(00:47:19): 你可以说是感受关系或开心。

海特(00:47:27): 感受自己在关系当中的存在。第二。我是否开心？

Andy(00:47:29): 按继续的继续。我觉得是的！

海特(00:47:42): 但慢慢的似乎你说。

Andy(00:47:43): 我觉得。有没有之后会就比如说你为什么我会改变我的活动，就是我看就我有时候还蛮喜欢看那种律师的案子，他讲的就是。但他可能就是，就比如是最狗血的，才会进热评或者就进推荐，但是他就会我就会看见有一些，比如说。可能结婚了，10年对呼吸，然后可能那个丈夫他可能就没有收入，然后那个就一些事情嘛，然后可能那个账面负债了，或者说是没有收入的，然后那个女生就在。密谋怎么结婚，然后 Feels. 夺取财产这样子，然后律师。我觉得他会引发我的一些，比如说。那是不是有人收入，没有收入，那可能我目前在建立的一些关系，他就会。他没了，就比如说男女朋友这样子。

海特(00:49:19): 可以听到，如果我失去了世俗意义的价值，有一个非常大的恐惧，我的所有的关系。可能会离我去。

Andy(00:49:34): 会这样想，我觉得我妈妈也会我。

海特(00:49:57): 不好意思，有点听不清楚。刚才谈到就是我就是妈妈没有听见。

Andy(00:50:00): Now. 好。我觉得我妈妈也会有点联想到我。

Andy(00:50:15): 因为他很存钱，然后也不用乱花钱，所以我有种感觉，他就会觉得有很多钱的人就是很厉害的人。

Andy(00:50:27): 感觉。

海特(00:50:32): 通过紧缩自己存更多的钱，用这些花不出去的钱来标榜自己是一个价值很高的人。

Andy(00:50:49): 我觉得也未必要存很多钱，就比如说如果你很能花，但是你也很能赚钱，那最后你能存到很多的钱，那可能也很厉害。就会有一点这种感觉。我觉得。我觉得如果有一天比如说我下定决心，我不结婚了。那我就会过的很。自由吧，我感觉那我就不太用备注，就比如说还要提高收入去增加异性的吸引力或者是增加个什么。可能结婚关系我觉得维持的一个力，那可能只要我有一定的储蓄。能资源到我发了钱就。

海特(00:51:55): 所以似乎结婚也是一个很重要的影响因素，如果我没有价值，我可能就结不了婚，或者我的婚姻就没有办法维系。

Andy(00:52:13): 我觉得也是会有这样的影响。

海特(00:52:21): 所以我必须要时刻确认自己在市场上或者在世俗社会的眼光中，我是有价值的，所以我才能够有一个结婚的对象。我的婚姻才能够延续。

Andy(00:52:42): 会有一种这样的感觉。

海特(00:52:46): 结婚好像也是一个很重要的价值来源吗？或者说是什么，我用尽全力，为了去延续一段婚姻。或者说明确我是能够结婚的。

Andy(00:53:11): 这部分我没有方法，没有太仔细的去探讨过。

海特(00:53:17): 不关于婚姻关于结婚，这似乎是一个很。

Andy(00:53:19): 我这一周改一下。

海特(00:53:28): 很早第一次见面谈起的话题，然后这一部分其实我也还蛮想问问你的，当然今天不一定要给我一个回答。在之前我们经常反复的去谈触及到关于亲密关系的话题。但是在今年好像我们其实并没有太谈到这一个话题，我不确定是因为比如说和现在的女朋友关系非常的融洽，没有什么想要去更多讨论的空间了，还是因为什么样的原因。

Andy(00:54:11): 我觉得是注意力的问题，就感觉今年的注意力都在这要不要换工作在？坐着到了也有可能是觉得可能跟现在的女朋友相处，确实没有起到太大的矛盾，所以就也没有。

Andy(00:54:40): 特别特意去跟你讲这样子。

海特(00:54:43): 虽然注意力都在工作上都在追求一份新的工作上，但似乎最终那一个特别让你恐惧的还是回到了婚姻，回到了这样一个亲密关系的话题上。又也有一些可能我们没有在今天能够触及的部分，这一部分我们可以留着下次咨询再来讨论，但是今天可能还有一个部分是我们来不及去触及的，但是所以我可能今天也会想给你们留一个作业。

Andy(00:55:12): Out. 

海特(00:55:25): 上周我们谈到了那样一个坚固的自我，即使对方给我一个非常严严厉的负面的评价，你怎么一点都不懂。我依然能够非常坚固的，平静的。站在这样一个负面评价的海浪里。很重要的一个原因是因为你确实很懂这一个领域，所以因为足够的懂，让你足够的坚固。

海特(00:56:02): 那在今天也谈到了一些其他的。海浪可能我没有很好的去应对这场面试相对不是那么的顺利，或者我的简历投出去。可能没有太多的反馈，这些好像也都会在瞬间就将这些海浪好像瞬间就将你淹没将你冲走了，没有办法很坚固的停在这里了。

Andy(00:56:25): Anyway. 

海特(00:56:36): 我想试图邀请你去尝试一下，将上一周提到的那样一个坚固的自我的感受。签已到，在一个熟悉里面熟悉的场域里面，我是坚固的，就这样一个感受，迁移到你不那么熟悉的领域。

Andy(00:57:01): 好。

海特(00:57:04): 即使这一次面试失败了，它并不意味着我是不受认可的，可能这背后也有很多其他的原因，这些原因可能与你无关。我的简历没有得到回应，也有可能有很多的原因，而这些原因也很可能与你无关，所以可能回去。希望你做的一个尝试是。将这些可能与你无关的原因给它写下来，然后将这样一个坚固的感受有意识地迁移到这些不熟悉的领域当中。当然在有时间的情况下，没有时间，那我们也可以在下一次咨询再来尝试去做这件事情。

Andy(00:58:01): 我觉得也不会没有时间，因为总会有机会的，但是就是不太知道怎么建议之后我可以想一下办法想一想。

海特(00:58:11): 我们下一次也可以再详细谈谈，因为我等会11点还有另外一个咨询，可能我们今天只能先停在这里，上一次我有和你提到，就是接下来两周可能会在国内今天可能来不及和你去讨论下一次咨询的时间了，我可能把我接下来的方便的时间可能在下周四左右，我再跟你沟通可以吗？

Andy(00:58:41): 我给你微信发了，另外我觉得很快等一会你聊要会，就是我觉得经历关系去年有发很多，但是我觉得结婚这个话题也可以在接下来去弥补，因为你也我感觉我对这个也蛮多想法，但是可能之前比较少触及到对。

海特(00:58:42): 好的，那我们。

海特(00:59:03): 确实，我们好像也发现结婚是一个很终极的恐惧的来源，我们下一次可以更详细的来谈谈好，那我们就先停在这里，然后我们微信再联系，下周见拜拜！

Andy(00:59:12): 对谢谢好，谢谢你。好的拜拜见拜拜！
