Andy(00:00:01): Hello. Hello. 

Andy(00:00:05): 早上好。
Andy(00:27:01): 我叫他慢一点是从比如说看到嫉妒的人的角度去出发，太奢侈是。可能是我个人觉得这样子，他们两个是这两句话是不同的视角这样子？

海特(00:27:20): 看到他有那么多没有看完的视频，或者看的都是很多的切片，那是什么？看到这一点会让你希望他可以慢慢看一些。

Andy(00:27:48): 感觉会有一点点浮躁的感觉。不知道位置。

海特(00:27:56): 浮躁意味着什么？

Andy(00:28:02): 会不会他不太沉静，是不太完整的享受到！

海特(00:28:12): 不沉不够沉浸和完整的享受一段视频又意味着什么？

Andy(00:28:32): 不知道。

海特(00:28:35): 想不到也没有关系，但是又很奢侈，是什么让这些？娱乐或者开观影的过程那么的奢侈。

Andy(00:28:59): 就感觉太多事情想做，然后又不够时间做，虽然最后好像啥事情也没做。

海特(00:29:10): 太多事情，有一个优先级，前三名的这些事情是什么？

Andy(00:29:19): 比如说看动漫。打游戏。就最近，也想去再投一些简历吧，然后好建立。然后就下了？下班的时候去学一下东西。然后就感觉都不够时间。然后就。在了看视频的阶段，工作日的时候。

海特(00:29:52): 听起来好像我有一个蛮困惑的地方，看动漫好像是刚才提到的第一优先级的一件事情。可是看动漫又太奢侈了。听起来好像会有点矛盾吗？

Andy(00:30:12): 对，看动漫是我想做的，然后投简历跟学东西是我觉得我应该要做的。对，所以就。就有点拉扯。

海特(00:30:30): 在做我想做的事情的同时，我不断的想到，我应该要去做我应该做的事情。

海特(00:30:48): 再看完刚才那一个视频，你有什么感受？你会想到些什么？刚才那40岁的感觉。

Andy(00:31:01): 坦白讲，虽然我现在只是快要30岁，有点他这样的感觉，生活的经历感觉是要比前两年要少一点。然后。可能就更专注在自己。喜欢的东西上。

Andy(00:31:37): 下班就回家。就看一下这些视频嘛，然后偶尔打一下游戏。周末的话。就陪一下女朋友，算毛，这样子就比较比起以前就是一些简单一点更宅，所谓宅一点的。生活吧，我感觉。

海特(00:32:07): 好像刚才那一位博主也有点类似这样的感觉。是什么让今天第一个视频回想和我一起看这一段视频？

Andy(00:32:26): 因为。感觉别得太悲观了，不知道为啥给我推，要好。有好奇怪什么？的对。然后。第一眼感觉，就因为我喜欢看这一类的，我觉得什么不内耗，高能量，它会让你更内耗。一般来说。他叫你不焦虑，是更焦虑。

海特(00:33:10): 为什么？

Andy(00:33:22): 有时候你焦虑其实是来自于你，你要做点什么，但你没做，他我觉得这种视频就会，他在教你要做些做一些什么。

海特(00:33:33): 然后我需要去做到这些，我才能不焦虑，可是我是没有去做，又让我更焦虑了。

Andy(00:33:41): 对，有点感觉是这样。然后。我觉得像是这些就是也是一些。焦虑的因素！对，是不敢花钱。因为包货，我看显卡的视频，我觉得也是有一点不敢花钱的感觉。其实一直想组一台电脑，现在内存价格就是飙到一个不太合理的饭，所以就。就只能光看一下，

Andy(00:34:25): 然后。说服一下自己现在还有一台 ps5，所以就先不。

海特(00:34:31): 内存价格有可能会继续往上涨。

Andy(00:34:36): 就有各方面的因素吧，所以，我觉得也这个事情也想分享一下，我不知道之前有机会也有讲过。我第一年工作的时候就觉得，以后一定要存下钱来，要给自己买一个很好的电脑，现在其实工作也。四五年了吧，然后5年了吧，其实也存了很多钱，但是一直就没有狠下心来给自己花个钱买一台电脑。所以。就有时候怎么讲。理性一点想就觉得，现在不是一个好的时机，就比如说可能前年就去年或前年挖矿，然后前年，显卡就很贵。然后现在内存又很贵，然后就感觉就理性上会这样想，都不是一些很合适的时机这样子。然后但是感性上又会觉得，好像自己答应自己的事情又没有做到这样子，所以就。就会一直很关注这些显卡的信息这样子。

海特(00:36:09): 太奢侈了，无论花更多的时间去做我想做的事情，花我的钱去买，我想要的东西听起来都好奢侈。

Andy(00:36:22): 对，花时间跟花钱我就会觉得。理性上我知道不花是最好的。但是感性上又会觉得。如果不花，我比如说存那么多钱。或者我工作的目的又是什么样这样？等一下我。

海特(00:36:49): 当一切当最奢侈的两个事情，钱和时间而咨询，既要花钱，也要花时间，又是什么，让你也会期待在这么奢侈的时空里。我们仅仅只是去看一些视频。他今天依然选择这样的一个方式。

Andy(00:37:26): 因为我觉得有时候咨询就是潜意识的一个有机会让潜意识去。浮上水面的一个机会，所以，就为什么花钱花时间？我觉得我的潜意识在想什么，也挺。重要的，这么讲虽然。讲一下我想到什么，比如说我昨天看了一个视频，我忘记在这里看他有一个叫什么妥瑞症？那个人会控制不了，说脏话都有时候未必是脏话，他会控制不了去讲。一些所谓他。潜意识。想讲，有的时候比如说理性觉得不太适合去讲的一些话，然后他就会脱口而出，然后。是不是所有人都认定约翰是在装模作样对，然后他叫什么证不知道是，妥瑞氏综合症？就当然有病的人，他可能被社会不太容易去接受这样子。然后我也不，虽然我也不知道他们讲的话是不是他们潜意识想这样的话。我觉得就是可能人。比如说像是我去压抑的一些事情，可能我觉得咨询的时候就类似给他一个窗口去补上来一点，不然。不然的话，如果只是透过生活，可能得等好久他才有人浮上来吧，有种感觉。

海特(00:39:59): 在咨询里面一起看视频是怎么样帮助这些潜意识更快速的，或者说帮助这些潜意识浮上来的？在你的感受里。

Andy(00:40:19): 如果你说开咨询之前我觉得。我感觉潜意识有一个声音是让我慢下来一点。然后我觉得透过看视频，而不是去很认真的去讨论一些事情，可能会做到一点感觉。

海特(00:40:48): 在刚才看视频的过程当中，体会到这样的一些感觉吗？

Andy(00:40:58): 感觉有的吧？

海特(00:41:04): 可以多说一点吗？是一种什么感觉？

Andy(00:41:22): 我觉得未必是完全是放慢这种感觉。可能有点像，分享我喜欢看什么让你作为一个咨询师去了解，然后。去帮助我的潜意识更好的。简化出来我也不知道是不是这种感觉。

海特(00:42:03): 这个过程更慢了吗？

Andy(00:42:12): 感觉是的？

海特(00:42:17): 和我们之前的咨询形式有什么一些区别？好像让你感觉，好像我慢下来一些了。

Andy(00:42:30): 不用想那么多。好像这个时间专门慢下来的时间，上次你跟我讲的，你说你的来访者他是。这段时间是专门用来放松的，虽然付钱放松，可能听起来会有点奇怪了，但是。我觉得。也是值得尝试一下这样子的事情。

海特(00:43:13): 腹前放松为什么会奇怪，对你而言也不太是，稍等一下，不好意思。

海特(00:43:35): 不好意思，因为在酒店，刚刚那个服务员在敲门。我们继续。目前放松对你而言有什么感觉，好像很奇怪。

Andy(00:43:54): 那你比如说你看视频，你可以不再咨询看，可能不在咨询里面看的时候就会有点尴尬的焦虑。我还没有去学习，还没有去投简历。甚至还没有打游戏，然后就会有一种婴儿焦虑感，然后但是比如说如果在咨询的时候看我，

海特(00:44:20): 放松的时间。

Andy(00:44:22): 我就会觉得，就是专门用来。放松或者是，也未必是每一次咨询，比如说可能上次约好这一次是一个放松的时间，然后就感觉刚刚看的时候就不会。有别的思绪在入侵，比如说，你要这个时间要去学习，你这个时间要去，应该要去干嘛这样子。

海特(00:44:50): 虽然感觉付钱放松好像也是一件很奇怪的事情，刚才我们当这样去实践的过程当中好像。对你而言，好像也是一些比较好的体验。

Andy(00:45:13): 或者我觉得。有时候可能看完一个视频就过去了，我的潜意识里面是有一些回音的，比如说可能看刚刚的视频，我看一些。剪卡的视频我可能看别的视频，它可能我的潜意识它是有一些回音，所谓回音可能是衍生的一些。

Andy(00:45:45): 想法，感觉咨询这个过程就是可以把这些想法顺便表达一下出来。

海特(00:45:55): 那所以刚才在看40岁感受的视频。有哪些想法蹦出来了？

Andy(00:46:12): 因为我之前会有一点点焦虑，现在的生活比起以前所谓的太平淡。

海特(00:46:22): Tracking. 

Andy(00:46:22): 可能之前又会去不同的活动，看看工作日的晚上又会去跟朋友聚会！去喝酒去玩，去跳舞！然后现在就是感觉下班就回家。我感觉。但是你问我为什么选现在的生活，那我肯定是觉得现在的生活比之前的生活要更舒服嘛，我感觉视频，有一点。有时候平淡也没有什么不好的。

海特(00:47:12): 这位博主他也曾经过，你说的，我们一直在探索新鲜事物的这些过程的生活。但当他到了40岁，他选择了。这样相对平淡的生活。好像是他的一个选择。

Andy(00:47:36): 我觉得跟岁数不太大关系，而是说。接受你目前最喜欢的东西是什么，比如说可能几年前我最喜欢的就是不断的寻求一些外部的刺激，可能。现在我最喜欢的可能就真的是。静下心来可能在家里这样子。

海特(00:48:06): 好像也有一个，我不知道称之为矛盾是不是会有点太 over 了，我最喜欢的是静下心来，在家里也许休息。放松看视频，可是在静下心来休息的过程当中，好像刚才提到那些我应该要做的事情，又会不断的在脑海里面浮现出来。让静下心来的过程很难真正的静下心来，在我们休息娱乐的时间里，我们要把这些时间好像也需要把它们压缩。

Andy(00:48:55): 也会有这样子的状况。然后我刚刚讲的时候，我觉得有一个事情也蛮浮现的，我觉得显卡这个事情最近我也在想，人是要服务自己的理性，服务自己的感性，然后。我感觉这个事情好像又没有答案，

Andy(00:49:34): 感觉有时候这件事情就会比较。可能引发焦虑一点。

海特(00:49:40): 这个问题为什么对你而言那么的重要，甚至引发了焦虑？

Andy(00:49:49): 因为我觉得他有点牵扯到。我们的人生是为了什么，或是我们的工作是为了什么？比如说，我的工作是为了让我过上更好的生活。我就应该去买。电脑，哪怕它贵一点，因为我也买得起。但是为什么又会有声音让我不要买，比如说，价格不合理，如果我们存下这一笔钱，他可以拿去投资，那说不定这笔钱。就会滚得越大。比如说像这样子。虽我没拿捏好。哪个说法是更所谓更正确，这样子或者他们两个都正确，

Andy(00:50:48): 那我？我记得我们之前也讲过个比喻，跟你分享过，就好像说有一个富翁去海边问渔夫为什么你不去工作。我问他你为什么要去工作，他说为了开游艇出去晒太阳去钓鱼，渔夫说我现在也在晒太阳跟钓鱼。我就会在想，那我潜意识主动想去存钱，再去投资，再去把钱滚大，他这个行为是为了单纯。把钱滚大，我是为了享受什么，如果为了享受生活，为什么我现在要那么的去延迟满足自己？所以就有点想不通，但是我又觉得，好像我脑海里这两把声音又都有道理感觉。

海特(00:51:54): 是做想做的事情做应该做的事情，这个问题好像也要找到一个很精准的那度，包括我应该服务于我的理性我的感性。好像也要找到那一个非常精准的答案。

Andy(00:52:14): 我觉得。会有这样的感觉。也不是说精准。感觉他们两者的声音在我潜意识里面起冲突，是一种蛮消耗我能量的事情。虽然我觉得这个问题。他没有。很常浮现出来，从我主观意识上来讲，我感觉他在我潜意识其实是会不断的去对抗跟消耗了这种感觉。

海特(00:52:58): 似乎我也感受到，当你说好像一直好累，可是在放松的时间，如果不是咨询的空间里面，它是纯粹的放松。在其他的一些放松的时间，好像也没有办法做到完全的放松，

Andy(00:53:19): 对，

海特(00:53:19): 这些例题始终在你的脑海里面不断的。

海特(00:53:23): 冲突者。

Andy(00:53:27): 我觉得你总结的挺好，喜想做的事情跟喜欢要做的事情要做哪个，我觉得内在冲突还蛮强。

海特(00:53:38): 这部分我们可能今天没有更多的时间去讨论了，今天我还想再问最后一个问题。在刚才看到，他们人40岁的感受的视频，他的生活包括他的婚姻是你向往的吗？看到他的这无论是生活状态还是婚姻状态，你会有什么样的一些感受？

Andy(00:54:11): 我觉得他现在的状态跟我现在状态真的蛮像。然后是不是向往？是又不？部分是我觉得他很沉浸在自己的世界蛮好，只专注在自己想要做什么。对，专注在自己想要做什么或者自己喜欢的事情到底是什么？

Andy(00:54:49): 不是的部分在于。有时候我就会在想，那我是不是我喜欢的东西就是这么狭窄的，当然最后的结果就真的是，比如说我喜欢看动漫跟打游戏这样子。可能自己的部分在于，可能理想中的我会不会个人的生活会更丰富，对这里就会有店铺。

Andy(00:55:26): 对，匹配的感觉对。

海特(00:55:28): 看到这视频我也想到了之前我们谈的一个话题。我不考虑结婚，好像我就自由了这一位博主。他做自己想要做的事情，在过去，他尝试去做所谓的有趣的人，这样的话，可能过女生就不会拒绝他了。但是此时此刻，他只是做自己想做的事情，依然有一个很好的婚姻关系。并不意味着诶，我没有做那些所谓有趣的事。好像就会被拒绝。这也让我想到之前谈到的那样一个感受，好像不结婚，我才自由，我现在要用尽全力，好像我才有机会步入婚姻。

海特(00:56:36): 话题之前提到很重要，我们还没有机会谈到，可能也留下一个思考的种子，我们可以在合适的时间再来讨论。这些真的是矛盾的吗？那么多的问题服务于理性就一定不能服务于感性吗？理性和感性一定是矛盾的吗？我做我想做的事情我就不能去做，我应该做的事，我做我应该做的事情我就做，我都做不了我想做的事吗？包括我过我想过的生活，

海特(00:57:12): 你刚才说的。我这过上我想过的生活，我就不能进进入婚姻了吗？

海特(00:57:21): 又或者此时此刻，当你说。我好像这是我想要过的，这是我向往的一部分，但好像又希望它是更丰富的，在平淡中追求丰富的过程。好像也不是没有可能性，我们要怎么样让它变成可能性，这些问题好像又很大很累，所以。在这里先抛出来，我也希望可以在咨询外的时间，你也可以一放松，在你觉得准备好的放松的情况下，我们可以再来讨论这些问题，下一次咨询你也依然可以用，无论是看视频或者任何其他，你觉得好的方式来进行？

Andy(00:58:10): 好。

海特(00:58:11): 我们今天可能就先停在这里，

Andy(00:58:15): 好，谢谢你。

海特(00:58:17): 那下周我们就安排在下，因为下周我还在国，就回到国外了，我不确定哪一个时间，因为之前说要安排在周日，比如说我们安排在周日的。哪一个时间段可能是比较方便的？

Andy(00:58:35): 周日下午。

海特(00:58:37): 比如说像我。

Andy(00:58:37): 那我接你的话是下午3点那天时间最方便，是不是？

海特(00:58:43): 下午2点或者3点或者4点我都 ok。那这些时间段你也都方便吗？2点到？

Andy(00:58:57): Ok 的 ok。

海特(00:58:57): 60. 有可能也需要有一些其他的来访，也要协调一下时间，我会把你的时间安排在这个时间范围之内，然后我可能这周四我才很确定可以吗？

Andy(00:59:12): 没问题，周日下午的时间我都可以。

海特(00:59:15): 那我们周四，周五我们再来确定时间，那我们今天就先停在这里，然后周日再见。

Andy(00:59:25): 好，谢谢你，

Andy(00:59:26): 周日再见，

海特(00:59:26): 拜拜。

Andy(00:59:27): 拜拜！
