Andy(00:01:09): hello 等我30秒。

Andy(00:01:27): 你好，现在楼下的房间，我待会在开车站，我们先聊着。
Andy(00:13:20): 可能意味着喜欢我这个人。我会把那些事物和我自己联想在一起。虽然我知道那样不太正确。是可能是我，你说你先说。

Hite(00:13:33): 在这样两个你说你继续，你继续。在这样两个感受之间，对方喜欢我今天安排的这顿饭，他就是喜欢我这个人。他们之间他们这顿饭和这个人是怎么样关联起来的，他们之间有什么样的一个链路吗？

Andy(00:14:10): 我也不太知道，就比如说他不喜欢这道菜，或者说他不喜欢水，那我感觉他就是在否定我的生活方式。

Andy(00:14:20): 可能进了就否定我这个人可能未必这么简单，就其中一个例子。感受上这样的感觉。

Hite(00:14:28): 刚才还有什么想要和我补充的吗？

Andy(00:14:39): 刚刚我说这个话。

Hite(00:14:47): 刚才也提到了，在对方喜欢我安排的这顿饭或者我的行程，还有一个很开心的部分是对方看到了我的欲望。

Andy(00:15:01): 对。

Hite(00:15:02): 这一部分可以多说一点。

Andy(00:15:08): 不知道怎么形容，让对方看见我喜欢什么，我感觉本身也是一件很。开心的事情就比如说看见我喜欢的人事物品这样子，让他知道了，他就是。

Andy(00:15:37): 看见了，然后他看见了那有什么用，感觉他会更了解我这个人吧，不管喜不喜欢，我感觉被看见这个事情。

Andy(00:15:50): 本身是一件好事，是令我开心的事情，当然说，如果有时候他不太喜欢我给他分享这件事情，那我肯定也会有一点负面的情绪出现这样子。

Hite(00:16:03): 似乎像你刚才提到的，只有在没有阻力的情况下。我才愿意让他们看见。

Andy(00:16:10): 没有阻力是什么意思？

Hite(00:16:16): 刚才提到什么情况下，我可能会去支配其他人就去做安排我想要去吃的餐厅，我想要去的。这个形成没有这种阻力的情况下，我才愿意让他们看见我的欲望，其他情况下好像更多的是隐藏吗？之前有提到。

Andy(00:16:40): 我感觉因为要因为我觉得有一种可能是我不想面对。当对方看清我的欲望的时候，对方可能会有了一些负面的情绪，或者可能我潜意识不太想接受这个事情也是有可能。我比较宁愿对方去选择他喜欢的事情，那我再去体验他的，那当然我可能也会有好就喜欢跟不喜欢的。

Andy(00:17:16): 感受吧。然后但是我不喜欢的感受，我感觉我是比较。少表达的很强烈的，所以我感觉这样对我们双方的体验感会更好，而且我本来就是一个比较喜欢体验不一样字幕的人。

Andy(00:17:38): 我感觉这个做法就是对。可能某种程度上对我会不利，但是我感觉对于整体来说，我感觉整个体验是比较好一点的。

Hite(00:17:56): 刚才也提到，我希望被看见或者说被看见会很开心，我的欲望如果被看见的话是让我有好的体验。

Hite(00:18:11): 另一方面。似乎在更多的情况下。我都选择了不被看见，我都选择了去隐藏我真实的欲望。

Andy(00:18:22): 是我觉得就是我最近发现我自己一个比较大的问题，然后也算不算是问题就是或者说我想改变的事情，能不能说问题。我想改变的一个点，因为我感觉我比较逃避，让别人看见我的一个点就是我很逃避，当别人看见我以后，他对方可能有一些。

Andy(00:18:50): 后面的表现，那对方负面的表现会让我很痛苦，会让我感觉他不是在讨厌那个事物，而是在讨厌我，所以我很本能的回避掉这个状况。

Andy(00:19:03): 我觉得理想中的我不是希望能更勇敢的让对方看见我，然后我感觉最近这一。

Andy(00:19:16): 一个月，我感觉其实也有越来越往这个方向走，但是我感觉目前比较卡的一个点就是我感觉对方对事物不好的评价会。直接我会直接投射到对我这个人的，他对我喜不喜欢这个点吧，所以我会感觉比较痛苦吧，我感觉。

Hite(00:19:46): 这个月在哪些部分让你感觉好像有变化？

Andy(00:19:55): 你说更勇于让别人看见我自己。

Andy(00:20:06): 我感觉还是有蛮多的。

Andy(00:20:23): 那具体是什么事情，我可能很难说，我想一下就比如说，然后这是我和怎么讲，就我跟一个女生约会，然后她把我带到一个就是。比较那种怎么讲那种会可能不同桌子会互相一起玩那种酒吧类似。水淹的吧，然后。他是过去跟别人玩了，然后我感觉礼貌上如果之前的我感觉我礼貌上也会跟着过去玩吧，但是我感觉。当下我的意愿是不想过去，我比较想一个人静静待着，就虽然我也不知道为什么，但是我感觉就是不太想过去一起玩，然后我就一个人静静地坐着。

Andy(00:21:20): 我会蛮开心，我看见，然后也执行了自己的欲望，就算当然那个欲望背后为什么会出现这样子？

Andy(00:21:34): 然后可能也不知道，反正我就这样一个人就是一边随缘，然后一边待着，然后可能听一下看一下视频这样子。

Andy(00:21:46): 然后那个女生就回来陪我约会那个女生，然后就她不和他们玩又回来陪我聊天，那我感觉整个过程也是蛮。蛮开心的，我是其中，我感觉越来越遵从我自己想法的一个事情。别的话。吓了一跳。

Andy(00:22:27): 然后也是在那种就是也是交软件跟女生聊天，那这个女生其实另外一个女生就我感觉约会过跟她。见过两次吧，然后。怎么讲，我们再约第三次见面，我靠我感觉。我靠我先找个地方走一下。

Andy(00:23:02): 好 crowded。

Andy(00:23:26): 然后那个女生就怎么讲，就是我给他开推荐了一家餐厅，我这一次又不想告诉他是什么名字。

Andy(00:23:41): 因为那个女生给我有一种感觉，好像是不是很那种可能好的餐厅或者很贵的餐厅，他会不想去？然后所以我就加了一个意大利菜的餐厅，然后到时候怎么在哪里等这样，然后他说就是他一定要知道这个餐厅的名字。然后他一讲这句话，其实就是激起了我内心的一些很防御性的想法，我就感觉这个女生就是很。怎么讲他，我感觉他就是我想象中那种粉就是很挑餐厅的女生，然后我会感觉他是在跟餐厅吃饭，而不在乎对方。

Andy(00:24:32): 坐在对面的是谁，那我感觉以往的我感觉可能那就随便，那我就把那个餐厅的名字告诉他。

Andy(00:24:46): 然后这一次我就直接把刚刚那番话就跟他讲了，我说你，你非要知道的话，我会感觉。你会像是比较在挑餐厅吃饭。你就别人请你吃饭，而不是说你在意的是跟谁在见面这样子的一个感觉，那我其实不太喜欢这样的感觉。

Andy(00:25:15): 就是我很诚实的跟他讲了，然后我感觉这个也激起了他的一点一点攻击性或者防御性这样子吧，然后他可能他也说了那。他说这两个都重要，然后那也不缺，就不缺这顿饭，但是我感觉怎么讲，后来我跟他是有点闹闹掰的那种感觉吧，我感觉。

Andy(00:25:45): 我感觉就是。我为我展现了我的想法而开心的，我也更了解了他的想法，他可能他会觉得。什么讲个餐厅名会显得更有礼貌，就让别人知道我的想法我们都约会就见第三次了，我感觉都要。

Andy(00:26:10): 然后反正就后来就有点闹掰吧，但是我感觉其实这件事情就是有点像是一件比较好的事情吧，就是我感觉我宁愿以后的我是要展现出我的想法。哪怕对方可能会闹掰这样子，那以往的我会感觉这样我这样讲可能对方会闹掰，会跟对方老板，我就选择不讲，那我就直接跟他讲，这是一家什么什么产品。

Andy(00:26:41): 但是我不跟对方表达这个想法，然后我潜意识就会觉得她就是那种很飘的女生，所以我其实我的内心也是很不好受的，然后我见面。

Andy(00:26:53): 如果跟他见面的话，也会对他带着不好的想法这样子，所以我感觉宁愿就是我就是坦诚跟他讲好。

Andy(00:27:06): 如果双方还是很不舒服，那就不要见面就好。

Andy(00:27:12): 我这个也是其中一个例子。

Hite(00:27:12): 似乎在第二件这后面这件事情里面，我也感受到了一种双方在争夺支配。角色的。或者支配权力的角色的感觉。我不知道对你而言是什么样的感受。

Andy(00:27:35): 我感觉是双方在表达自己的想法，那这个想法可能会有一些有冲突的地方，那我在这里我感觉我更想保护我的想法，不是对方的想法。

Andy(00:27:56): 我也希望日后是这样子，因为我过去是一个比较保护对方想法的人，我想。换一种活法。就是未必，最后都是我最喜欢或者我最后选，但是我想换一种活法就是就想法。

Hite(00:28:19): 是什么让你想要换一种活法，或者说又是什么让你在这两个事情当中和过去的行为出现了？不同的变化。

Andy(00:28:34): 因为过去的就比较在意对方的活法，我感觉就是没有什么力量感，可能客观上获得的结果会更多。做好处会更多，就比如说可能，那我不闹掰，那可能就跟对方必须建立关系，这样子可能付了的结果会更多。我感觉内心会有很多不舒服的感觉在积累，然后我感觉它有好有坏吧，这么讲。我感觉整体有一点是我不太喜欢的方向，所以我就想换一种说法，那你不尝试怎么知道哪一种更好，说不定我可能尝试回。

Andy(00:29:28): 多保护我的想法，可能我最后也是不太喜欢，又换回现在的活法也说不定就大概是这么个想法。

Hite(00:29:40): 过去，我更多的选择隐藏我的感受。现在我愿意把我真实的欲望和真实的感受表达出来。

Hite(00:29:54): 同样回到刚才之前的一个问题，当我表达了我的欲望，那在这两个事件当中，似乎对方的反应是不同的。第一个抽血烟的情境下。

Hite(00:30:07): 对方似乎看到了我不想去，然后也过来陪我，他看见我的欲望，然后也接受了第二个似乎是相反的。他不接受这样的一个诉求。他们的喜欢和不喜欢对你而言。都意味着什么？为什么笑。

Andy(00:30:35): 不是笑的，我想一下。

Andy(00:30:47): 我感觉以往那种活法的话就在意对方的想法，但是我会很处处计较，就是我会想我做 a 这个选项，对方会。是什么反应？做 P 这个对方会是什么反应，但是如果现在只考虑我的想法的话，其实我不用管对方，他的反应是好的话，你只要在乎我自己在想什么就好。

Andy(00:31:14): 我感觉这个活法就会比较简单一点，然后但你说对方的反应好跟不好，就对他反应好，我们当然会很开心，就比如说我自己一个人，其实我不太想跟那些陌生人社交，然后。那我约会的女生她就做回来了，然后那我感觉肯定是很开心了，这个事情可能我想自己不想跟他们一起玩，可能也是有想那个女生回来就不要跟他们玩的这种欲望在来，我不知道可能有。那这个就是有对方赞同了我或者是祝贺了我，那我感觉肯定是很开心这个事情。

Andy(00:31:56): 对方拒绝了我比如说刚就刚刚那个聊天的女生，那她我觉得就怎么讲，那我肯定也会不开心。

Andy(00:32:08): 但是我感觉也会有种爽感，就是我感觉我靠我成功怼了他，也不是说怼了他了，就是表达了我的想法吧，那。

Andy(00:32:19): 对方跟我想法不一样，我会游泳，感觉他怎么会有这样的想法，我也理解他吧，我会。不舒服，又没有到很不舒服的感觉的，因为我的想法被对方看见了，其实只不过他可能不太。

Andy(00:32:42): 赞同而已。对大概是这么个感。我觉得这样更有力量感，我感觉对我的人际关系相处。

Hite(00:32:55): 在过去。当我更多的需要隐藏我的想法。我担心真实的想法暴露出来。会有不同的感受。如果在过去我真实的想法暴露出来之后，对方不赞同。

Andy(00:33:15): 我感觉我跟那个女生打那句话的时候，想了蛮久的，因为我不太喜欢一贯以这么直接的方法去。

Andy(00:33:26): 表达我的想法。但是我感觉如果要改变的话，就得刻意一点，所以其实我犹豫了很久，就还是发了几次，你原来的问题是啥，不知道有没有回答的？

Hite(00:33:37): 没关系，那你或者可以和我多讲讲，在犹豫的过程当中，内心都有什么样的挣扎。

Andy(00:33:57): 比如说对方会有不好的回应，这样子，那对方也有不好的回应，那我是否应该要去评，就比如说我，你不给我名字，我就不出来了。

Andy(00:34:11): 那我要不要屈服，对我就会有这样的想法，其实我感觉以以我过往，其实我对怎么讲我对人的。

Andy(00:34:24): 敏锐度我感觉还是蛮高的，所以我很清楚，我一说完这句话或者这种表达，就当然说是不是会有更好的表达，可能有吧，但是我当下只能想到这种表达。就是我一给出去这种表达就是我比较敏锐，我觉得肯定会激发他的攻击性吧，我感觉可能他会想这个男生怎么会这样子。

Hite(00:34:50): 担心被攻击。

Andy(00:34:50): 然后对大概就在犹豫这件事情。也是吧，或者说就有点担心在对抗的感觉，因为有时候对抗我不知道对关系有不有利，通常是不利的吧，我感觉已有的经验。

Hite(00:35:08): 那在表达除了有爽感之外，被也被攻击了，被攻击的那一刻，或者那一个石头，你有什么样的感觉？

Andy(00:35:14): 对大概是这样。

Andy(00:35:29): 感觉确实我内心会有两股欲望在对抗吧，一个是我确实是这个女生，起码之前约会的时候我感觉是。怎么讲。就比较符合我理想的。就我喜欢的类型的。

Andy(00:35:50): 也会有一股想要约她出去的欲望。另外一方面又觉得他跟我的想法确实很不一样。

Andy(00:36:03): 就会有一点下头的感觉。或者说是怎么讲？会有一种感觉，我到底是要屈服顺从他去满足我约想约他出去的感觉，说我应该要。

Andy(00:36:22): 遵从我的想法。冒着可能会约他不出去的。这个风险，我感觉就是这两股情绪在对抗吧，想法在对抗。我感觉还是昨天的处理也是比较好，我感觉可以既表达我自己对这件事情的看法。

Andy(00:36:49): 我也可以继续表达，我想约他出去这样子。我觉得对方最后的反应是怎样，我觉得这个是我控制不了的。

Hite(00:37:03): 最后我不知道这件事情是什么样的结果？

Andy(00:37:09): 看一下。

Andy(00:37:15): 最后感觉。

Andy(00:37:29): 他说我想多了，就是他说或许我们并不同频，然后就是他觉得没有很熟悉的时候跟对方商量见面的餐厅是基本的礼貌。

Andy(00:37:49): 然后我说，你的朋友都没有试过带你去一家餐厅，先不告诉你。然后。然后我那时候就有点下头的感觉，然后我就说就是不太想继续跟他约会的那种欲望吧，然后我说不过也不重要了，没事了，然后他说。

Andy(00:38:16): 你想多了，不缺你这一顿饭吃，按我说就他说我想多了，然后我就说我在表达我的感受，然后他说。那请你表达感受的时候，也考虑一下对方的感受，我就说你有感，你有什么感受，你可以说就是不用压抑这样子。

Andy(00:38:40): 然后他就没有回了，然后。我感觉看回去的时候确实我那一刻还是蛮表达我自己的，我感觉对就可能有一点点攻击性，因为可能对方也带好像带有一点点攻击性。

Andy(00:39:01): 我感觉那一刻我是没有任何的隐藏去表达我的想法。

Hite(00:39:09): 当我没有隐藏。当现在看回去那时候的自己。对自己有什么样的感觉？

Andy(00:39:19): 真的很帅，我觉得对，虽然没有一个约会，但是我感觉对我以前就是很羡慕。怎么讲可以怼对方的，就不是说那种刻意去怼，而是说真的，大家想法不一样，那就直接去交流。

Andy(00:39:43): 然后我感觉以前我是比较忌讳这种东西的，因为感觉可能会伤害对方的情感，或者是就是好像有冲突就是说好，但是。

Andy(00:39:56): 我觉得昨天那一刻的我感觉就是我有什么想法，我就说，然后可能因为对方的想法而导致我有攻击性。

Andy(00:40:12): 那我也说出来，那对方有攻击性，我感觉我也可以接受，那我就跟他说，就我感觉到对方有不爽，那我就说你有什么感受你也可以跟我说。所以我感觉昨天还是做得蛮好的，但对方最后选择他可能忍受不了这个有点冲突的场面，选择了不继续对话，我觉得。

Andy(00:40:39): 也没有问题这样子。

Andy(00:40:46): 就是感觉就是别人，我就感觉这个家伙有点自我，但是活着蛮自在的那种感觉。

Hite(00:40:58): 在这两段关系里面，我似乎也看到了角色的变化。上周我们最后遗留的那个话题是好像在进入到一段关系，无论是咨询还是上一个。女和女朋友的关系和前女朋友的关系都是在进入的时候，我好像就成为了下位的那一个被支配的角色。但在这两个关系里面。我似乎虽然我不是去支配对方，至少我没有被支配。我站在了自己的感受这一边。

Hite(00:41:36): 这样的一个角色的变化。它是怎么发生的？

Andy(00:41:44): 真的太复杂了。

Andy(00:41:57): 因为我记得你很久之前咨询也跟我说过，那时候我也比较心急，就是想得到结果，那你那时候也有跟我说，就是就。

Andy(00:42:10): 改变它是一个很螺旋式的过程，你要说很具体的事情，我感觉可能有。你要我非要我说可能也说得出来，但是我感觉大体上的感受就是其实是因为看见了我自己，比如说上一段关系里面那种。

Andy(00:42:36): 比如说我们之前讲的被逼到墙角退无可退了，然后也比较。

Andy(00:42:43): 在意顺从对方的感觉吗？然后我感觉其实最后那段关系是活不出来我想要的那种活法，或者说就是我会讨厌那样。逗我。然后。那这段关系结束，我感觉就是慢慢在。想可能也慢慢接受自己过去的自己确实是这样一个比较在乎别人的感受也比较。

Andy(00:43:19): 遵循别人感受的一个人，我可能并不被我自己所喜欢，然后我感觉那就尝试一下。

Andy(00:43:30): 如果我真的做一个以往的我并不认可的人，就比如说可能我变成一个比较自私的人，我比较在乎自我感觉的一个人，那会怎么样？

Andy(00:43:46): 我觉得抱着一种。做实验的心态，因为我是一个比较喜欢尝试不一样事物的人，那我就得按照你，你就做个一年比较自私的人，反正你也是，反正我也支持不到哪去，就是我。

Andy(00:44:04): 可能往那个方向去调整一下！就试一下。感觉就是这样。

Hite(00:44:12): 在我们的咨询关系里面，你期待做什么样的尝试。

Andy(00:44:20): 我感觉。我感觉。我怎么讲。我感觉我对不同的关系，我感觉都是希望保持我的一点一致性，就是我感觉。这也不是用特意去做什么调整，那我感觉那就因为我这个对人的相处，其实也是持续改变的一个过程，那我感觉那现在的我就是。变得更加愿意表达我的欲望，那我感觉那对你来说，我有什么想法，我也可能会更直接的提出来。我觉得就 ok 也不用说协商要做什么样，或者是定一个什么样的想法去。

Andy(00:45:12): 改变咨询的关系，我感觉就是顺其自然就好了，我感觉对。

Hite(00:45:15): 我们在最开始咨询的时候，那时候带入了一个什么被子制备的角色？

Andy(00:45:34): 我记得我第一次跟你会谈，我就说我很渴望有一个记录者去记录我的生活，那是不是存在支配关系，我也不知道。

Andy(00:45:55): 但是我觉得那一刻是缺乏看见我自己这个属性的是很严重，缺乏导致到我需要一个记录者，可能我也不知道，可能就是导致我需要一个记录者去记录我自己的生活。

Hite(00:45:58): 我想要问的是我们的咨询关系就是你作为来访者被支配的来访者。

Andy(00:46:09): 我没有办法跟我。自我去相处吧，我感觉。

Hite(00:46:24): 那是什么？来访者的角色。在哪些方面，你认为我需要听咨询师的？

Andy(00:46:35): 因为我也没有做过行李咨询了，那我感觉什么经验都没有，我感觉就是听对方的就比较好一点，其实也没有什么。

Andy(00:46:46): 我感觉唯一，我觉得最重要的是，那时候表达就是我有什么问题想解决了，我记得那时候是说什么类似完美主义或者是。

Andy(00:46:59): 不那么在乎别人的想法。然后。

Andy(00:47:04): 我感觉对这一点是比较执着的，然后至于比如说这个咨询的过程是怎么样，我感觉都是可以交由你去支配，因为我感觉你就是一个。

Hite(00:47:24): 那在这个过程当中，有什么让你在被支配的过程当中不舒服的地方，因为那个所谓权威的角色，所以没有反抗。

Andy(00:47:52): 多的话没有特别多。可能就几个点吧，就是第一个是有时候我感觉那一天好像没什么要咨询的，然后感觉还是要放你去上一下，其实有点想取消，但是又感觉临时取消又不太好。

Andy(00:48:14): 然后那我觉得这个可能跟这不咨询也没太大关系，可能做朋友也是一样吧，这个也不太好，就临时取消约会什么，虽然可能我也会做这种事情，然后。

Andy(00:48:27): 第二个的时候的话，就之前有跟你表达过，比如说在之前在咨询的时间里面可能要聊一些。日后咨询的一些安排或者调整，然后其实我感觉不太算在心理咨询里面，所以感觉反正会后再去讨论会比较好，那之前也有跟你表达过。

Andy(00:48:54): 然后别的我感觉就。

Andy(00:48:57): 没什么特别太大的感觉，我就觉得就当然我觉得有时候可能要表达自己内心一点点不为人知的事情的时候，可能会有一点不舒服的感觉，但是我觉得那个不舒服不是。

Andy(00:49:14): 你大概是这么？

Hite(00:49:15): 那在接下来，比如说这些曾经让你不舒服的地方，之后再有这样的感受的话，或者类似的事情出现的话。你会有什么变化？

Andy(00:49:37): 不知道看那一刻不想说吧，就是想说，不想说就不说这样子就可能就有时候。

Andy(00:49:50): 怎么讲就它会让你不舒服，但是又没有到那么不舒服，那你就是讲不讲了都没什么所谓，我感觉就像你打个滴滴，那个滴滴动态有点太热或 P。

Andy(00:50:03): 但你做个五分钟又走了，有时候你又懒得说，就是就看那个当时的场景，如果很不舒服，我感觉我是会说出来，但是比如说。

Andy(00:50:14): 像刚那个状况也没啥，就可能一点点不舒服，但是也不是太大影响就算了，也说不定。

Hite(00:50:25): 那因为时间的关系，我们今天咨询可能就只能先停在这里。

Andy(00:50:31): 好。

Hite(00:50:32): 我不知道还有任何其他想要和我说补充的部分。

Andy(00:50:37): 我觉得下次咨询也可以记一下，我觉得比较想讨论的是我会刚刚说到一个点，就是我会把对方对那个事物的不喜欢，我会投射到。

Andy(00:50:53): 变成是对我的不启发，然后有时候我想尝试打破投就所谓投射或者是想法，但是我没有办法打破。

Hite(00:51:01): 好好，然后之后我们还是安排在一点，这个时间对你是方便的。

Andy(00:51:05): 可能想下一次讨论一下，我感觉了解我自己为什么会这样感觉就能打破。我感觉挺好的，因为我两点钟就比较方便，安排下午的时间。

Hite(00:51:21): 然后这个月的咨询费可以在这周先结给我吗？如果你方便的话好。

Andy(00:51:33): 我们这周是咨询了多少次？

Hite(00:51:37): 我看一下，稍等我一下，我确认一下，我记得是三次。

Andy(00:51:44): 好谢谢。每每一节200这样子去计算？

Hite(00:51:50): 可以按180来算，之前我答应过你会给你折扣。

Andy(00:51:54): 180，180对我都忘了，好好好行。好下周见拜拜！
