海特(00:00:12): Hello. 
海特(00:12:16): 那为什么你说。

Andy(00:12:18): 对，为什么我不？他没有，你跟你说吧！

海特(00:12:28): 那为什么所有人都要喜欢你？

Andy(00:12:37): 感觉挺好的。

海特(00:12:46): 那凭什么？

Andy(00:12:53): 那我不凭什么，我就想而已，

Andy(00:12:58): 就想要被喜欢对，我知道就不太可能。比如说。有的人他就喜欢甜，有的人，他就喜欢咸，那我不可能又是甜，又是咸的。

海特(00:13:15): 当喜当你是甜的，而喜欢咸的人。拒绝了你。刚才那个问题好像就抛了出来，在他们给出你回应之前，凭什么没有人不是所有人都喜欢我，那我就是这样想。我说希望，当然这个感觉很好，但是当被拒绝的时候，凭什么喜欢咸的人不能接受这一个甜的我。

Andy(00:14:03): 我就。我也不会想他为什么不喜欢咸，我就会想，为什么我不可以，又是甜的，又是咸。

海特(00:14:15): 为什么你应该要是万能的？

Andy(00:14:15): 对，我为什么不是万能的？我也不吧，我想要失望的。

海特(00:14:38): 即使我什么都不做。

Andy(00:14:48): 不知道诶不知道。我想跟你谈一下我现在的疲惫感，因为好像没怎么聊过当下的感觉，或者是疲惫的状态。然后。我感觉现在很累，好像人生有很多议题要解决，我的。工作一样做不完。

海特(00:15:37): 刚才可能我们又谈到了一个，我又好像又把你引到了一个很沉重很累，很难解开的话题。

Andy(00:15:50): 但是我觉得那些话题我就已经排到比较后的位置了，我为什么会自闭，或者说那我就在，我自闭就算了。但是，有一些就比如说这一年半年，比如说，工作怎么样去做？人生怎么样去往前，包括可能也想和你讨论，但是今天太累，没讨论到结婚或者是一些。真的很深入的亲密关系要怎么样处理？我感觉。

海特(00:16:36): 更累了。

Andy(00:16:38): 好像我在跑，但是那些路就越跑越长的感觉。对，好像我今天解决了一个问题，或者我今天进步了一点点，那个问题就越冒越多。的感觉我现，我不确定这是我的生活，或者是我的环境给我的感觉说。

Andy(00:17:11): 现在这份工作给我的，因为现在这份工作也是，也有很多任务了，可能每周都是满的，没有一个。缓冲的空间是，比如说可以放空一下这样子。

海特(00:17:38): 很谢谢你告诉我这一切，刚才当你跟我谈到的时候，我也在想，当然这部分我们可以一起去探讨，我也还没有找到答案。在你之前，我还有两个另外的来访。另外两个来访，他们好像就是对待咨询。会有不太一样的态度。他们就会觉得，因为我一周都很忙，很累，而咨询可能是唯一一个小时。我可以完全放空的时间，或者说至少在咨询的时空里，我相对可以轻松一点点，但是我记得我之前有和你讨论过这一部分的话题。当时你跟我说，因为我有咨询这一个小时可以去讨论这些很累的事情，所以在咨询外的这一周，所有的时间，那些我不想去管的情绪。那些我不想面对的议题，我就可以先把它抛在脑后，我都把它存到咨询的空间里来解决。所以我不确定。当今天在你那么累的情况下。如果我很累，那我就不想来咨询，因为咨询会让我更累。

海特(00:19:18): 在不同的人可能面对咨询会有不一样的反应。当然没有任何的对错，但我很好奇，我不知道，当你听到这一这样一个奇差异的时候，你会有什么样的感受是什么？好像对你而言。咨询它是我可能会更累的，而不是我可以去让我稍微放松一下的一个空间，我需要把咨询好像每1分钟都利用的很好。而又是什么？在今天咨询的前一刻，好像又是有一个不一样的动力，包括此时此刻，当我们又讨论到一个累的话题，你可以打断我告诉我，不想再继续了。今天虽然很累，我依然可以咨询，你也告诉我你很累，我也不想再讨论这些辛苦的话题。

Andy(00:20:21): 听见有什么感觉？我觉得是因为今天太累了。对于我。怎么讲。理智那一部分。的力量比较减弱一点嘛，所以我就。感觉，不想讲东西，所以就，可能聊一下，就目前的状态这样子。都分享一下我的情绪跟感受，我觉得确实也是因为我把。当成了一个解决东西的时间，所以就感觉，挺累的，所以现在挺晚的，不太想再那么累。但是。就我知道我自己的问题是有点完美主义，其实之前就有一个新法，也可以不那么完美的去做，所以就感觉那今天那是最累的一次比选，那就也试一下的，不一定很精神充足，再多支持。所以就。试一下吧，

Andy(00:21:57): 至于。你说那刚那个咨询，其实我也有想过。

海特(00:22:09): 你说哪一个咨询？

Andy(00:22:11): 比如说状态很轻松的咨询。因为我记得我前前几个月就是今年年初的时候，或者是两三月的时候，我有跟你讲过，能不能先聊一些。轻松或问一下有什么快乐的事情，我忘记那时候有没有跟你分享，其实我是看了一个。

Andy(00:22:46): 别人咨询的视频就可能来访者他是 ok，就这样分享，就他也不是全部，他讲他可能。一年来的变化一开始他就是咨询师跟他聊天，然后他也什么都不说，然后又。这样子就过去了，比如说头一个月这样子，

Andy(00:23:15): 可能第二个月就，稍微讲一两句话，这样子，然后第三个就开始，可能。看一下电影我不知道他们他在做一些，我觉得不是在咨询的事情，

海特(00:23:38): 好像我有看过这个记录就是好像是来访他一句话都不说，然后就是咨询师慢慢的陪着他，然后咨询师慢慢的和他一起做很多事情，然后慢慢的那一位来访，开始愿意打开心扉。

Andy(00:23:39): 然后。

Andy(00:23:59): 对。

海特(00:24:00): 我不确定是不是同一个？

Andy(00:24:02): 就大概是这样吧，就没事穿一下，可能这件是挺不，我觉得可能我不知道，另外两位的来访，我不知道是不是跟视频的。来访者是差不多的状态，但是我其实当初看了，我就觉得挺不可思议的，然后。我也蛮羡慕这样子的状态的，我感觉就是。我没有办法在。在另外一个人面前？

Andy(00:24:51): 放松或者说是？对，有点难为情的感觉，或者说是觉得，有点奇怪的感觉。

海特(00:25:06): 在今天咨询最开始我也有想过诶，要不要问问你，如果今天很累，如果我们今天在咨询的过程当中，我什么都不问。你想说什么什么不想说就不说。你可能会有什么样的一个感觉？我们不尝试在今天的咨询里面解决任何的问题，不讨论任何的问题，没有任何的目标，对你而言意味着什么？

Andy(00:25:52): 我觉得以前的我会觉得我是不是在浪费钱，但是我就觉得。就怎么讲。就我觉得很努力的，很努力的去解决问题，我觉得过去我们咨询了一年半，我觉得是。有成长吧，但是我觉得是走不同，好像问题只会，也不是只会吧，但是确实现实状况是感觉。越解决越多，或者是可能每一课的问题都是新的不一样的，像泡泡一样冒出来。我觉得也可以试一下。对，可以试一下，我觉得尝试一下新的方式去做咨询。

海特(00:27:01): 在尝试之前，我还是想再多问问在这个部分是否有任何对咨询或者对我的失望。是你没有告跟我表达的？

Andy(00:27:24): 我觉得没有，我觉得没有。反而是我会觉得。我觉得我对一些事情是有一个定式的思考，我会觉得，人要这样子。比如说，他是要有钱的，高收入的，可能要娶到一个很漂亮的老婆，然后咨询关系是要。我来付钱是想解决我心里的一些疑问的，或者说是，我是想让我自己心理上越来越。强壮。工作！我是要来。尽忠尽责然后。

Andy(00:28:31): 然后是。

Andy(00:28:35): 我不可以随意的去面试，就有点像背叛公司，然后就我不是说这些都是不好或者都是错的，我就觉得。我的定式的思维太多，就固定的思维太多，觉得如果有新的方法去。我这里也可以去。尝试一下。

海特(00:29:03): 比如，当我尝试通过咨询来解决问题，但你说我们解决了那么多的问题，可是好像又有那么多的问题没有被解决。这条路好像走不通。

海特(00:29:26): 我不知道在这个过程当中。你是一个什么样的感受，像我用尽全力了，但还是这么累又。可能刚才我提到的失望的部分，也许是对咨询的，又或者是对自己我不确定在面对这样的一个。结果为我们那么的努力，那么的解决问题。还是这个样子。

Andy(00:30:03): 这方面我倒是挺。挺乐观。我觉得。这么讲就是尝试走一些路，然后我觉得走不通也是很正常，就也不是走不通嘛，可能确实，方法验证过，他也能做到一些东西，可能并不是我最想要的状态，就可以试一下，换一下。对，是说，他其实某种程度上也能满足我，

Andy(00:30:51): 但是，会不会有更能满足我的状态？

Andy(00:30:54): 我觉得可以去。探讨一下，因为我不也不想把目前的咨询的关系说的好像一无是处对，因为我觉得也带给我很多。成长，或者是处理一件事情的时候的一些力量。

海特(00:31:14): 刚才无论是你我都提出了一些新的方法是在视频切片里面。即使来访者一言不发，也许就是谈论一些开心的事情，我不知道对你而言，如果仅仅只是今天咨询，接下来的这20分钟里。有什么是你希望我们咨询可以有一个新的尝试，在这20分钟里。

Andy(00:31:52): 来一起看视频吧，不要说话。我感觉看视频的时候蛮放松，也可以给你看一下我平时。看的视频。

Andy(00:32:13): 我挺想找回。刚刚说的？你骗我看一下。还能不能找？心理咨询。

Andy(00:32:52): 我直接给你分享屏幕。

海特(00:32:53): 好。

Andy(00:33:11): 我可能要重新进来一下。

Andy(00:34:07): 看到吗。

海特(00:34:08): 可以看到。

Andy(00:34:12): 有点找不到！

海特(00:34:18): 我也尝试整一下。

海特(00:35:54): 我好像找到了，我把它转发给你。

Andy(00:36:00): 好。

海特(00:36:10): 发给了你的企业微信。

Andy(00:36:45): 视频才2分钟？

海特(00:36:50): 对我确定是不全？

Andy(00:36:55): 还差不多。

海特(00:36:56): 也不确定是不是你看到的那一个？

Andy(00:37:00): 这一个？听个声音。有了。你能听见吗？

海特(00:37:25): 好像听不见视频的声音。

Andy(00:37:29): 现在。听不见。

海特(00:37:35): 好像听不见。

Andy(00:37:42): 看一下怎么分享，同时共享电脑声音。Ok. 

海特(00:37:48): 可以。

Andy(00:37:49): Ok. 

Andy 共享音频(00:37:50): 星期可以听见。

Andy(00:37:51): 听得见吗。

Andy 共享音频(00:37:56): 在吗？我好像听不见你的声音，你的麦克风那里有问题吗？可以听见？在吗？好，那今天你想聊些什么？没关系，可以的，我们可以不说话，发生了什么心事你可以和我说吗？我好奇，你最喜欢哪一个乐队？你喜欢哪一部电影？你有没有什么喜欢玩的游戏？我死了，我有我这有一只菜狗，它又菜又狗，所有水果与草莓同时成熟的人，今天我们可以一起来看一部电影，你有什么电影？好看的吗？

Andy 共享音频(00:39:50): 我今天想聊一聊。那我们来聊一聊。星期。

Andy(00:40:18): 看完了。对，我觉得。我觉得不一定是要他们这种状态，因为我觉得后面我会觉得有点奇怪，但是我觉得。我觉得还蛮羡慕他一开始的。状态的。对，很累，然后就。不说话这样子。

Andy(00:42:04): 今天就随便看一点视频。

海特(00:42:08): 系。你可以和我分享，你都爱看些什么？

Andy(00:42:22): 博主还蛮爱看。

Andy 共享音频(00:42:26): 兄弟跑起来，一下就接了三单了，又缺两单了，赶紧跑。

Andy(00:42:34): 他这个是好像他有一些什么特殊疾病就是不会死，但是好像就吃不了饭，就吃不了，所有东西就只能。喝那种营养液对。

Andy 共享音频(00:42:47): 已经送到了他个蛋，今天跑外卖赚了128花30给妹妹来个番茄土豆炖牛腩的贼辣好吃犒劳她，嘻嘻牛肉焯个水，来点干辣椒倒里面。把番茄倒里面去两粒冰糖。又是吃肉的一天。大块牛腩，特别软，番茄味道的很好吃，

Andy 共享音频(00:43:24): 白叔给妹妹吃龙虾的，但龙虾20块钱已经太贵了，土豆好粉，感觉跟我之前吃的土豆好像不太一样。非常好吃酸甜口的，最近妹妹天天跳槽跳累了。真的好好吃，都是蛋白质，小时候我过年最想吃就是牛肉面的1010块钱还是十几块钱，忘了湖北特别多牛肉面。外面遍地都是，这武汉这老多了，剩下的明天给咱早上下个面条还好可以，我也觉得番茄我吃完了，很香，

Andy 共享音频(00:44:04): 这是个生姜，吃完了就妹妹洗碗收拾厨房了，我哥哥每次煮饭要把厨房给炸了，跟世界大战一样，我搁调料随便丢。我看次次我买了一个小布，

Andy(00:44:20): 这刚刚有在看。

Andy 共享音频(00:44:20): 感觉还可以，日本的研发投入占 gdp 的比重长期位居发达国家前列。但是近20年，它的创新活力却持续落后于美国，核心原因之一就是日本人口持续老龄化，年轻人口不断减少，整个社会的创新活力持续下降，毕竟创新永远是年轻人的游戏，没有足够的年轻人口，再高的研发投入也很难转化成持续的创新成果。

Andy 共享音频(00:44:43): 有人说老高，你说的这些都是宏大叙事，所谓的人口红利是一切内卷的万恶之源！车跑得再快，跟燃料有关系吗？确实，那接下来我们就看看每个人的微观利益会因为人口减少而变得更轻松吗？

Andy 共享音频(00:44:58): 在短期内人口下降带来的好处似乎非常明显，生孩子不用抢床位，幼儿园不用抢入学名额，学区房的压力受到缓解，以后找工作会更简单吧。如果我们把时间线拉长，情况可能不太乐观。

Andy 共享音频(00:45:12): 首先是生孩子。2035年全国年出生人口将降至500万左右的低位，实际可能会更低。产科资源会进一步向核心城市三甲医院集中中小城市，县域的产科，妇幼保健机构很可能会因为收不到产妇而大面积撤病。对普通家庭来说，想要获得安全优质的生育服务，大概率需要跨区域就医，付出的时间成本，经济成本会比当下更高，

Andy 共享音频(00:45:36): 同时人口。增长伴随社会抚养比持续上升，生育相关的托育教育配套服务会因为财政压力，劳动力短缺，难以实现大规模普惠供给，生孩子的隐性成本只会更高，不会更低。接下来是就学环节。

Andy 共享音频(00:45:51): 在义务教育阶段，2030年后出生人口下滑的影响全面传导到中小学，全国中小学数量会大幅缩减，农村县域人口流出城市的学校肯定会出现大面积撤并。虽然学位总量过剩，但优质的师资教育资源还会进一步向核心城市头部学校集中，普通家庭的孩子在家门口还是很难获得优质教育，想要好的教育资源，又要付出更高的购房成本和陪读成本，内卷从抢学位变成抢优质学位教育，这场军备竞赛很难完全停止。在高等教育阶段，

Andy 共享音频(00:46:22): 也就是2040年左右出生人口下滑的影响会传。

海特(00:46:45): Andy. 很抱歉，今天时间快到了，我还是希望，虽然今天可能就是像你说的，先不说话，到最后还是想再和你说话。你愿意。

Andy(00:47:03): 好。

海特(00:47:08): 我想听你说在刚才我们一起看视频的那十几分钟里，虽然今天时间不是很长，也许下一次咨询我们可以把这个时间拉长，让这个感受更加充分一些。如果今天有任何不同的感受的话，对于这样一个咨询的刚才的那样一个很不一样的过程，刚才你有什么样的体验？

Andy(00:47:44): 会感觉，因为一般好像咨询都是在。输出能量吧，然后刚刚有一点像是输入能量的感觉，

海特(00:47:58): 那你说。

Andy(00:48:03): 然后。我也想体会一下，比如说你刚刚说可能别的来访者他们会是，把一个小时或这段时间当成放松一点的时间。这样子的对，然后也是会有一点忐忑，我觉得。因为我感觉看什么视频的内容也是有一点适应，

Andy(00:48:41): 然后就会在，你会不会有什么看法？这样子。对。

海特(00:48:47): 很谢谢你和我分享这一切。今天一方面是时间关系，另一方面也是可能这样一个轻松的氛围，我也不太舍得去破坏它，所以可能我不会问太更多更深入的问题了。我也想和你分享一些。我可能最直接的感受！

海特(00:49:19): 今天这一个过程对我来说其实也还蛮特别，然后也还蛮感动的，因为咨询师可能。是作为一个服务为很需要帮助来访，那当然是以来访为中心，虽然有的时候我也会想试着邀请，无论是你还是可能任何其他的来访，如果有一天的咨询。哪怕我们什么都不说，我就想到什么什么可能会发生什么，包括。

海特(00:49:58): 我也试图在我们过去的咨询中给你去创造一个更自由更轻松的环境，有的时候我可能会问你可能我们会讨论一下，比如说当你迟到的时候，你可能会想是什么样的一些原因。有的来访一定是会准时到有的来访会提前有的会来访会迟到，然后这一部分我也希望能够给你更多的空间，并。然后也会更允许你，当你想要抽水烟的时候，或者当你有任何一般情况下，我会咨询可能都是视频的方式，当你不方便的时候，当你可能在不同的环境的时候。这可能是我想要给你制造一个更轻松的环境，但好像也不知不觉我们的咨询就步入了像刚才所说的无数个问题的解决的过程。

海特(00:51:10): 对刚才的那一个过程，说实话我还蛮感动的咨询他，我不确定你是否有印象，我曾经和你提到过一句话。其实 some 问题相对而言没有那么重要，你才重要，你怎么感受的才重要，你是否开心，你是否快乐比所有的问题更加重要？

海特(00:51:40): 那也许就是在刚才的咨询的过程当中，我们体会到了这一部分问题的解决当然很重要，也许问题得到了解决，我们的更多的快乐才能释放出来。但就像此时此刻，当你很辛苦，当你很累，你比问题更重要，你此时此刻有没有更放松一点，有没有更快乐一点。他可能才是真正重要的部分。刚才也很谢谢你和我分享这一切。

Andy(00:52:14): 谢谢你给的反馈确实是。值得这样子去！练习一下。

海特(00:52:34): 下一次咨询可能我也会尝试着在过去更多，我记得有一多次有一段时间，我们有尝试过。我有提出诶，过去好像更多是我主动去引导。然后但渐渐的依然好像更多是我在引导，而好像我引导的方向总是往问题解决的那一个方向走，所以也很谢谢你今天打断我。下一次咨询我也想尝试一下，可能下一次咨询我会静静的等待你开口。你希望下一次咨询他长什么样子，是就是你躺着我什么都不说，像今天这样子看视频，你可能会有什么样不同的一些想法，你期待在咨询的这个空间里面和我一起去完成。

Andy(00:53:42): 看视频吧，下次虽然我不知道下周我的心情是不是一样。

海特(00:53:47): 也许会发生变化，但是也许也会有更新鲜的形式，或者你可能会有更多不同的想法，又或者你也希望和过去一样，下一周刚好可能有一个议题想要去讨论去解决。都不重要，你当下的感受比所有的这些问题更重要，这是为你创打造的咨询的时空。

海特(00:54:19): 你完全有权在这个时空里面做你想做的任何事情。

海特(00:54:29): 那我们今天可能就还是先停在这里，下周周末我应该会有时间，但还没有非常的确定，可能也会有一些工作安排，所以我可能还是会提前去和你沟通，我尽量还是安排在比如说周末的，比如说周日的上午，这样的话可能你会更方便一些。

Andy(00:54:53): 你以后是很常在国内，接下来这段有一段时间在国内？

海特(00:54:58): 这一周下一周在国内7月份可能会有两三周在国内其他时间可能还是会和之前一样在国外。

Andy(00:55:13): 国外周**会有空吗？

海特(00:55:17): 周日也。但周日可能也还是因为有时差，所以可能也还是下午的时间。

Andy(00:55:25): 因为一般我都是周六过去深圳找我女朋友，所以就她有点抱怨，我每周过去有一个小时就陪不了她，

海特(00:55:38): 可能下次咨询我们再商量一下之后固定在周日的时间。

Andy(00:55:40): 所以就看能不能调到周日了，对。

海特(00:55:52): 可能也会在14或者15下午14或者15点，因为我还有另外一个也在周日安排的咨询，我可能也要确定一下诗经。

Andy(00:56:05): 没问题。

海特(00:56:06): 你会更倾向哪一个时间，到时候我看能不能协调。

Andy(00:56:11): 周日都 ok 吧？

海特(00:56:14): OK 好，那下周再见！好，谢谢拜拜！

Andy(00:56:19): 好，谢谢你，下周再见，拜拜！
