Andy(00:00:08): 等一下我们是怎么写？
Andy(00:07:42): 因为那天其实也有讲到一个重点，就是有没有很真实的看点对方因为其实我有那么多投射，所以其实也没有办法很。第一是没有办法匹配到对方的浓度去慢慢怎么讲，就是建立这个关系，因为。比如说大家可能一个正常人，比如说正常人可能部分的人价格浓度的投入是一个线性了。或者是慢慢上升，我是这样子的话，他的第一是他大部分人都会受不了。这是第二点就是我会把一个不属于对方的东西投射给他，我觉得这个也是对关系不太好的，比如。

Andy(00:08:47): 我探索的目的是我希望以后不要把刚我是很不渴望一段。

Andy(00:08:59): 农业等多少可能对方受我控制的这样子的情感或关系去。投放给对方这样子。

Andy(00:09:18): 还这么聪明，我可能也说不清楚。大四可以偷吗。

海特(00:09:20): 我再确认一下，因为可能有些部分没有太明白。是指的是，当我想要高浓度的投入，同时，我也期待他有对我很高浓度的投入，但是当他并没有这么。

海特(00:09:39): 这样的一个表现的时候，似乎我会有很多投射，我会担心他可能会有很会不断的去猜测他的想法。

海特(00:09:52): 会是对他提出什么样的要求，或者希望可以控制他，让他来听我的话。

Andy(00:09:59): 这里面有两个部分，就是第一个是怎么讲？

Andy(00:10:14): 主要是有两个部分，第一是我是否对方有投，因为我觉得高浓度它不是一个蛮。

Andy(00:10:28): 正常的行为就是关系的建立，我觉得就是慢慢的投入进去这种感觉。

Andy(00:10:40): 就刚刚我也就是说我所以我就觉得那么高的投入是有没有机会，是因为我投射了一半，就是不属于他的一个角色给他，所以我就会那个浓度就会升的那么快。

Andy(00:11:01): 甚至我不知道是不是舆情我也不知道，那第二个阶段就是那万一我真的不小心。

Andy(00:11:14): 就是给他投射了，我就是那么高浓度投入了，那对方可能没有办法回应我的时候，对时态肯定会有一个，因为我的幻想跟现实就是。他匹配不上了，就是我高一，我肯定也希望对方高，那这个时候肯定就会有一个现实的落差，那我觉得。

Andy(00:11:40): 这个就是可能我自己需要消化的，这所以我会比较想就从换是怎么走，其实就从投射的层面就是。

Andy(00:11:50): 把它解决掉，或者是我探索一下我们为什么会有，那就他就不会发生第二个阶段的事情，或者说哪怕发生了第二阶段，我现在已经意识到有这个问题了，那我就。

Andy(00:12:08): 有一些怎么去？焦化的代收的是东西。我就我自己的想法是这样。

海特(00:12:15): 我明确一下对你而言高浓度的投入都会有什么样的一些投入？

Andy(00:12:27): 如果是很具体的行为的话，就比如说。我会可能很需要对方的回应，不然说可能聊天我就会跟他聊很多。

Andy(00:12:52): 一些称呼上的亲密，然后有可能喊宝宝之类的，然后可能也会有很强烈的分享也。

Andy(00:13:09): 然后也很想控制对方。

Andy(00:13:14): 会控制对方，就比如说他那天晚上和一个男生还有他姐姐说什么，那你不要喝那么多。就其实我那一刻是很想他承托住我的焦虑就是其实我是很想对方，就是可能就按说我没有合同，然后要准备回家了，这样子就。我觉得主要就是会出现状况。

海特(00:13:48): 那你觉得你投入了什么？

Andy(00:13:52): 你肯定。觉得我投入了什么？我的一些注意力就会很在对方的身上。

海特(00:14:09): 你也期待他可以给到你同样的注意力。

Andy(00:14:13): 对我会很期待对方，你给我同样多的注意力是。建立这一段关系。

海特(00:14:29): 这似乎也是很正常的一个需求。当我喜欢一个人的时候，我的注意力就会在他身上，我也希望他能够来做义务。

海特(00:14:41): 我们一起去建立一段关系。

Andy(00:14:43): 我觉得这个说法也没有错，但是问题就是在于我国当对方。

Andy(00:14:57): 那对方确定是不能给我那么多的注意力，比如说可能他回去重庆了，他确实可能在他的想法可能都是一个。

Andy(00:15:09): 我这里说一些可能性，MD 就是他不是重庆的，对，那他可不可能因为这样子他的。投入度它可能会下降，因为可能担心的未来，或者说是之前相处的时间是因为面对面一些因素的分泌，所以可能它的投入度很高，但他可能回家了，它就慢慢降下来了。

Andy(00:15:40): 就这里只是一个可能性，但是它可能性是什么，其实我觉得并不太重要，就是那当对方因为各种各样的因素，他。没有办法跟我匹配的时候，那我是否能接受，然后。

Andy(00:16:03): 也跟着他调整，我觉得是我希望我就是能去。

Andy(00:16:16): 调学习调节的地方，第二个是我也很想知道为什么我会老是对一个女生就是很快的上头。

Andy(00:16:27): 我明白。

海特(00:16:32): 你可以和我关于第二个问题，你可以和我多描述，就是让你很快上头的女生她是什么样的吗？她和之前。

Andy(00:16:36): 不是说你不是你说的？

海特(00:16:45): 也，然后你有类似体验的女生他们之间有什么共性和差异性？

Andy(00:17:02): 看一下。

Andy(00:17:10): 我想把刚刚那个字幕看一下你的怎么问的问题，我看见了那个让我很快上头的女生是怎么样，其他的之前的你有什么共性和在一起？

海特(00:17:13): 需要我再重复一遍吗？

Andy(00:17:32): 有什么共性，其实他们没什么共性，有一个东西就是都是长头发，可能都符合我。

Andy(00:17:48): 喜欢的类型。外形上吧，外形上性格。我觉得没什么贡献性的。

海特(00:17:51): 指的是外形性格？

Andy(00:18:01): 那重庆这个女生会更上头一点，就是她可能性格上也符合我1000幻想或者需求，因为他感觉他就是面对面的时候是一个比较。没什么主见，比较听话的一个女生这样子，然后他们有什么差异性，就他们，我觉得他们两个，因为我之前也有喜欢另外一个女的，但是我跟他就。

Andy(00:18:31): 没什么发展，但是我觉得上头程度跟速度也是非常的高，就是我会觉得如果从一个第三方看会不合理。

Andy(00:18:45): 这种程度。

Andy(00:18:57): 对，然后那个重重庆女生就是我知道我对她太上头了，我可能他过了一周，就是这一周。然后我又认识了一个女生，然后对他也是，就是也会上头，但是也没那么上，但是就会有点想。

Andy(00:19:22): 他是厦门，会有点想就厦门去找，所以我就会意识到我是有这个行为的重复性。

Andy(00:19:34): 我会感觉好像我碰见一个女生，我就对他很快的上头，看他是否也能。和我一起很快的上课，那不行，那我就去找下一个，就我会察觉这是过往行为模式的。

Andy(00:19:58): 重复了。就大概是这样。

海特(00:20:06): 总结一下，似乎这一个让你上头的女生除了在外在非常符合你的标准性格上让你觉得非常的听话。

Andy(00:20:22): 对他是那种很是说没什么主见，然后很听话，很需要别人保护他的那种感觉，所以可能某种程度上也是满足了我的。

Andy(00:20:43): 自尊或者自恋吧！

海特(00:20:45): 很好控制的感觉。

Andy(00:20:56): 不用很好控制，这个是不是太大，就是反正就是他感觉他就是蛮容易沟通。

海特(00:21:05): 不在于控制在于他会愿意听你说话。愿意听你的想法！

Andy(00:21:06): 你有什么想法他也会听这样？

海特(00:21:26): 再明确一下。当他没有那么上头，你很上头，你有什么样的感受？

Andy(00:21:37): 我就会有很焦虑的地方出现。

海特(00:21:44): 你担心发生什么？

Andy(00:21:49): 第一是如果我完全把这股能量请谢谢对方，我就我的理性就差我就会知道，因为我学习过，我会知道肯定会把对方淹没。

Andy(00:22:09): 对得欧洲，就是把。

海特(00:22:14): 把什么 hold 住？

Andy(00:22:18): 很高的能量投入，我要把它勾起来的，要容纳起来，以一个对方可以接受的方式。

海特(00:22:25): 我要我明确一下，具体指的是，比如说我在之前。

Andy(00:22:32): 色素去。然后我有一次最清楚的就有人说。

海特(00:22:41): 我不容纳就是我不限制他的时候，我会非常频繁的去，比如说找他聊天，但是此刻可能我需要就是减少我沟通的频率是这样的一个意思吗？

Andy(00:22:41): Backing that this children? 

海特(00:23:00): 不一样。

Andy(00:23:00): 比如说可能我的能量是很高的，比如说我现在真的超级无敌想我，然后。然后你再我好想知道你在做什么，但是对方可能他的投入程度未必能接受到这种表达，那我可能就得。

Andy(00:23:30): 那这个时候我的焦虑就会出现了，那我觉得目前投能量投入的程度，对方是肯定不能接受的，那我要调整到什么？程度那第一就聊天的焦虑就会出现。

海特(00:23:46): 是什么让他不能接受在你的想象里。

Andy(00:23:52): 我觉得对方回去以后，我觉得他的投入就是很逼我感觉，所以就我觉得如果对方。

Andy(00:24:07): 他投入没有那么高的时候，因为这里又讲到另外一个风险的位置，就是因为我觉得。对方比如说头都在补，这样子我是头都在，只能在89这样子，那我当然也可以持续用89这个投入度。

Andy(00:24:30): 的去把它表达出来，但是我也会有个风险，那比如说对方其实根本接受不了那么快，或者他是其实受不了这样子，那他会不会就会跑掉？那我会有一个对未来投诉的教育，那另外一个方向就是，那我可能我也想把我的。

Andy(00:24:57): 就算我内心我自己是有89这样子，但是我能不能调整一下，说和他差不多，可能就是做到五或者比他高一点点，做到六这样子。有持续的在推他，那他之后有可能会涨，那我就再陪他去找这样子。

Andy(00:25:18): 那我怎么从89调到56这样子，可能我中间也会有一点焦虑，那我现在这个话到底是89还是56？我也会想这个问题具体是实操上面。

海特(00:25:39): 对方因为你的浓度太高而离开，意味着什么？

Andy(00:25:39): 电视大学本那么低。对方因为我的浓度太高，意味着你太有意味着什么？

Andy(00:26:24): 这个是一个很好的问题，因为到时候问一下，我想一下。

Andy(00:26:54): 就会有很复杂的情感会掺合在里面一下怎么把它拆出来，第一个是我会觉得我。

Andy(00:27:08): 学艺不精的感觉吧！

Andy(00:27:12): 就是或者说是我并没有很好的能因为我就会在想，因为就是在学习的时候，有一句话就是到底是谁在衬托谁的情绪。我就会觉得我是不是因为我做的不够好，我把对方不需要承受的部分，因为我太高了。

Andy(00:27:42): 我自己承载不了，我就让对方去承载，然后对方受不了，然后就离开，然后我就会在想那这一部分我是否就是。

Andy(00:27:54): 成长的不够好。然后。

海特(00:27:56): 我想多问一句，当我的浓度太高，对方承载不了是什么让他承载不了。

Andy(00:27:59): 工业的你能被控制起？这回你们家里交不起。就可能他目前这个阶段并不想要这样子，就比如说可能我们刚认识一个女生可能对他了解也并不多的时候，他突然就很亲密，就是安妮宝宝这种嘘寒问暖。

Andy(00:28:33): 然后就很想天天跟你在一起，就也不是说不行，但是可能未必每一个第一是未必每一个人就是我理性上是知道的。

Andy(00:28:47): 就是未必每一个人都会可以接受得到。第二就是哪怕他喜欢有机会可以达到这样的高度，那他会不会也需要更多的时间去？

Andy(00:29:02): 他能够得胜？

Andy(00:29:05): 大概是这么个？

海特(00:29:12): 如果对方因为你的浓度太高而离开，似乎意味着我是不是所谓的学艺不精。除此之外，还有吗？

Andy(00:29:12): 这方面我们能够。这是意外的。那天也有聊到。都有可能是一个我。就是也是一个自恋的破事了，那天又聊到一个房间，是因为可能是好像是我选择了这个人，我选择人如此高浓度的。

Andy(00:29:49): For me. 最后失败了。那你也会有一个很深深的。

Andy(00:30:00): 破碎感或者说是挫折感。

海特(00:30:05): 我们之前也谈到过自恋。别人喜不喜欢你，似乎与你有很大的关系。

Andy(00:30:09): 没问题吧，不一定就看有没有意思？

海特(00:30:16): 与他们反而无关。

Andy(00:30:19): 他喜不喜欢我是控制不了，但是我选择了他，就好像就你在做生意，你在下注。

Andy(00:30:38): 然后他妈的这个状况就是好像我经常下重注，就是你打复刻了，就是你正常玩法师就一点一点下，然后给我这个人进去。

Andy(00:30:53): 每一次就是 all in，然后就老是输，那肯定。就感觉不太好，就那个感觉不论你这东西都行不行，对那种痛苦我都要去动力。

海特(00:31:03): 你下得住，因为比如说刚才提到我投入的是什么，投入的是我的注意力，投入的是我的对他的关注度。

Andy(00:31:14): 我们也不了解。在不在宿舍跟着吃的比较重。

海特(00:31:18): 当最后是输的结局。你失去了什么？

Andy(00:31:36): 我觉得主要就是落差，还有刚刚说自恋的过程，我觉得就主要是这部分物理意义上是。

海特(00:31:41): 你什么都没有失去。你需要去面对那些不好的体验。

Andy(00:31:52): 我觉得其实也是有可能从两个方法去修通这件事情，第一个就是我。我探索一下为什么我会对一个女生老是就为什么我老是会有这种下重注的行为模式？

Andy(00:32:18): 就到底是什么原因会形成那第二个可能可以也可以修通的方法是，就是你可能也可以维持这么高的下注，但是。

Andy(00:32:30): 你你也得能成。你怎么喊得了你下重度之后我在那个？

海特(00:32:38): 这是两个方面，我们都可以来更进一步的讨论一下。

Andy(00:32:39): 后缀改或者改，有没有这两方面去，我不知道修通这个问题都是有可能性的。真是影响你们的第一个核心的，还有你，我听说有个什么的。

海特(00:32:55): 因为时间关系，我可能只能在第一个部分再多问一点点。当你遇见一个喜欢的女生，似乎在那一刻，上头的时刻，我把所有的注意力都放在他的身上。

Andy(00:33:06): 这34年的一次不能死都不错的。没有比较父母那就自己去。

海特(00:33:12): 似乎没有对自己的注意力。

Andy(00:33:23): 坦白讲，我觉得也是一个自恋，就是我可以现在感受回去，我就他可能也是一个自恋，就是因为我很享受那一刻。

Andy(00:33:35): 全部的注意力都投射到对方身上，另外一个状态的不能说的吗？你想现在的经历？

海特(00:33:40): 那个状态的你，你感受到的状态的你是什么样子的？

Andy(00:33:51): 很有活力，因为你会把全身的叫做生命力都调动起来的感觉。

海特(00:34:04): 还有吗。还有什么让你要把所有的注意力都放在他的身上？

Andy(00:34:04): 对就是很高度投入一件事情，永远都是有的东西，积分打优惠可能另外一个原因可能我不知道是因为因为我有点控制欲的东西吧，就是。

海特(00:34:16): 少一点都不行吗。

Andy(00:34:26): If. 最近也会理想化事情可能很希望。因为你高度投诉了，你肯定希望。

Andy(00:34:38): 过程越短越好，投资回报越高越好，那这时候我觉得就会有控制率的出现的。

海特(00:34:48): 控制欲。

Andy(00:34:50): 就控制，不是说控制对方，而是说控制这个理想化的过程跟结果他在家里电器就行。

海特(00:34:57): 似乎在一定程度上也是一种对方的控制，我希望用我的高投入来换你对我的高投入。

Andy(00:35:01): 我希望这个东西免试。也可以这么理解。

海特(00:35:13): 如果少一点意味着什么？你的注意力，你的投入，你把你的注意力，你的这些时间。

Andy(00:35:13): 你点进去。你说少一点什么，我的投入还是注意力。这是你的知名度首先不过分面对自己的生活卖掉这个什么的吗？我觉得。

海特(00:35:28): 一部分用在自己的身上，用在自己朋友家人的身上。

Andy(00:35:39): 我就会觉得我是不是没有那么爱对方，因为像我一开始说，可能我内心就已经有一个对关系的想象。

Andy(00:35:51): 套在未发挥上，可能我就会想他那一段关系就是很高浓度的投入，然后是大家很彼此很注意对方很。

Andy(00:36:03): 然后服从对方的需要这样子。

Andy(00:36:12): 就大可能就是也是一开始不要那么高的投入，但是他可能就没有办法满足我刚刚说那我们对关系的一些看一下。当然你说我现在识别了能不能去调整我的行为，我觉得是可以进行干预跟调整，但是那一刻的我是这样想的。

海特(00:36:25): 在第一个问题上，你此刻的你能够看到在你高投入的背后是什么？

Andy(00:36:38): 真的问题是有问题的地方面的问题。控制对方还有主要关系的范的预设。R. Rpc. 三就是非分配的东西。

海特(00:36:55): 似乎我通过自我牺牲式的高投入，我全然的关注你，我甚至都没有任何关注自己的一点点余地。

Andy(00:37:03): 对你的关注，你甚至都没有任何关注自己的定力。另一名。

海特(00:37:11): 我通过这样一个好像我要把自己奉献出来，我把我整个人都牺牲给你来换他对你的牺牲。

Andy(00:37:12): 这个地方很多，有很多人都在努力。会有这样子的第二可能性。

海特(00:37:27): 我通过牺牲自己来获得对他的控制。

Andy(00:37:28): 真的轻松自己。对自己给。你也可以这么说，像你刚刚说的就是他像我。因为我投诉各种东西可能想诱使对方，他也投入更多这种感觉。

海特(00:37:52): 所以本质似乎依然是对他的索取，对他的要求，看似好像我不断的在想。

Andy(00:37:55): 你怎么就说用就是个什么东西？看事情，现在不见你。你觉得这么？

海特(00:38:08): 我要不要配合它一点浓度是这么低，我也放到更低的位置，他需要什么我就满足他什么。

Andy(00:38:18): 你是非你个？

海特(00:38:19): 但背后隐藏的是我对他的索取和要求甚至是控制。如果你接受了我对你的这些牺牲。我要你用同样的牺牲来还的。

Andy(00:38:35): Yep. 我觉得确实背后可能会有一些索取的意味，因为比如说我那么。高投入以后。对方没有办法。也高一点的回高一点投入的回应我的话，我就会感觉很失落，然后就不太想跟对方在接触的。

海特(00:39:00): 因为你都牺牲自己牺牲到这个地步了。

Andy(00:39:12): 美国自己？就没有回报？

海特(00:39:22): 今天我们可能只能先停在这里。有一个问题，我们可以之后再去思考和探讨。

Andy(00:39:31): 这两个是真相似的是。

海特(00:39:32): 是什么，似乎需要你用自我牺牲式的方式来获得一段关系。

Andy(00:39:44): 也得不错，先生。

海特(00:39:46): 不自我牺牲。在一段关系里面，你可能会有什么样的感受？

Andy(00:39:58): 好像就没有办法获得爱我回去再想一下。

海特(00:40:01): 我们下次咨询继续来探讨这一部分，那我们就先停在这里，然后下周六我可能会出国，但我时间不是很确定，所以我可能再提前约你的时间可以吗？

Andy(00:40:06): 不能采这些。那你就申请的时候，可能会得到的时间都这么确定，但是肯定的不行，下周六。

海特(00:40:24): 对或我反正会在下周六之前再约你的时间。

Andy(00:40:25): 没有什么事，我没有想到一个问题，我最近有点想加密一下自选的频率。我就是像你分享的，我感觉我对上海上网心理内容有很多了，我还在进行。我觉得是蛮高强度的自我探索，所以就是可能也会蛮多的讲法了，所以我在想这是不是加密一下咨询的频率这样。

Andy(00:41:08): 都不知道你看。

海特(00:41:09): 我觉得是因为我们现在是探索的过程，如果要提高频率也是可以的，但是时间上的话，因为我可能。

Andy(00:41:13): 我跟除了你家不听懂的歌词都是个问题。

海特(00:41:21): 下周可能还是我这周末可能就会出国，然后接下来可能又会在国外待一段时间，所以我不确定有没有我们能够匹配上的一些时间，所以。

Andy(00:41:24): From the new paper. And. 

海特(00:41:33): 我们下周咨询我们再来讨论这个问题可以吗？

Andy(00:41:33): 你出国是工作日，你下班的要不要分你下班第八点的时候大概是。

海特(00:41:47): 对因为。

Andy(00:41:49): 中国实践地点？

海特(00:41:52): 因为我下班的时间，我比如说我六点下班可能已经是国内的晚上11点了，然后可能八点就已经是国内的凌晨了，所以可能会不那么方便。然后如果是我早上的时间的话。

Andy(00:41:53): 因为晚上吃的火锅，比如说我六点清楚一点，所以他不能就对你的，所以你这个那个东西可能是有点多多长时间？

海特(00:42:06): 我基本上唯一的一个时间段是中午的12:30到1:30。

Andy(00:42:07): 基本是唯一的一个时间段都有影响。但你，但你得示范。

海特(00:42:17): 国内的12:30到1:30。

Andy(00:42:18): They meaning the Ai. 这安静有长对不可能根据你们做的事情，就不能说现在有一些能力。

海特(00:42:24): 就可能是你们需要吃饭的时间，所以时间会相对有一点点的尴尬，然后如果是周末也是。

Andy(00:42:32): 我深夜的时候也可以就越深宁静越适合我，可以之后再在再表一下。

海特(00:42:39): 好好我们，因为我也蛮担心，如果是，比如说凌晨的时间可能也对你来说，我担心会不那么合适，所以我们下次可能再来探讨可以吗？

Andy(00:42:45): 我今天没有提。建议那个人不累就行。咱们不能叫做那种东西可以。可以的。

海特(00:42:57): 好，那我们就下周见拜拜！

Andy(00:42:59): 我都这样，谢谢你拜拜！
