Hite(00:00:04): 今天也是在外面在哪里？
Andy(00:07:10): 我觉得真实做的时候比我想象的要开心太多。我完全不知道养蚂蚁可以这么改。对我觉得有一件事情是要做了才知道，就比如说原本我的想象里面。

Andy(00:07:36): 养蚂蚁跟听高达应该差不多才行，结果。直接下来是假蚂蚁，我就快乐的有点一发不可收拾，但是拼高达就只能说是我感觉我又拼了一只脚，然后就没有欲望。就没有那么大的欲望继续下去吧，所以。感觉有一些事情还是做了才知道会怎么样。

Hite(00:08:14): 和你之前想象的主要都有什么样的一些差别，具体的话。

Andy(00:08:26): 和之前想象有什么差别？更快乐！我不知道有什么差别，就我不知道怎么形容那种差别。人举一下例子。

Hite(00:08:47): 无论是否能描述的出来，但是能感受到的就是更快乐。

Hite(00:08:59): 这种快乐是你熟悉的体验吗？

Andy(00:09:05): 我感觉不熟悉。好像很久没有这么快乐。

Hite(00:09:09): 这是一种不需要其他人要求你的快乐。

Andy(00:09:20): 我的头发好像包扎一样，不要在意他就这个发型真的很差，他又不打理。直接又爆炸？

Hite(00:09:27): 现在是在外面吗？

Andy(00:09:32): 对。对在外面。

Hite(00:09:36): 今天就是在家工作了一天，然后没有出门，没有打理头发。

Andy(00:09:37): 不算，其实我早上还是打理的一个，因为我原本想去上班的，然后突然想了一下，真的很不想。然后其实也是因为我养蚂蚁吧，就是我想早点收到那个剪子就蚂蚁的钱，然后我就在家工作吧，然后下午中午就出去了，拿了一下那个蚂蚁。

Andy(00:10:10): 大概就是这样。原本的问题是什么？有什么差别？感觉是不是很久没有碰到吗？

Hite(00:10:23): 对似乎不是你熟悉的感觉，那这样的一种。快乐和其他事情后体验到的快乐不同又在哪里？

Andy(00:10:41): 真的很快乐，你！我之前在打游戏。上也遇到过那种你。你是想着那个事情去入眠的。然后是睁开眼睛第一件想的事情就是也是这个事情，就我就感觉我挺着迷，或者是有很多快乐才会这样子。

Hite(00:11:15): 所以是否意味着？这是一件你真正想做的事情。

Andy(00:11:23): 我感觉是。

Hite(00:11:27): 当你体验到这样一种着迷的感受的时候，是否也体验到了更多的关于之前我们一直没有讨论出来的一个问题。到底活着是为了什么，我到底想要做什么？我不知道在此刻你是否有了一些不同的感受。

Andy(00:11:41): 会有一点不同的感受是。这其实之前最大的讨论点就是我一直之前会觉得自己没什么东西想要做？那现在是感觉是？就可能慢慢的想起来就可能因为咨询或者是什么样的原因就是可能把一些很小的愿望挖出来，比如说。可能我想起来小时候这些东西是源自于小时候，或者是过往吧，就是可能小时候我想拼高达，但是不会，所以最后就没有拼了。然后或者说是感觉太贵好像所以买不起就没有再搞，然后所以就是想再尝试一遍。

Andy(00:12:46): 另外一个就是养蚂蚁，就是我就感觉。就拼高的，我发现其实我好像也没有太享受，虽然我可能还是会尝试把它拼完，然后亚蚂蚁又是非常快的，就是我觉得会提醒我，可能也是有很多。事情是我就我想做的，但是因为比如说为什么我没有养蚂蚁，就其实我小学我不知道你读书的时候。有没有碰到过，有那种类似什么？就它是蓝色一块类似凝胶一样的，就是把蚂蚁放进去，他就会自己挖隧道，然后住在那里那种。我不知道科学玩具，类似于对就是卖给小朋友，对，就是我小学碰到过，但是就。

Hite(00:13:40): 我没有碰到。

Andy(00:13:49): 我感觉也是贵吧，然后也可能是因为我妈就是不喜欢我几乎。

Andy(00:13:59): 是有讲过，比如说妈我想买，然后他是这不要买之类的，就很坚决的说不要。就有点像我告诉他我在养蚂蚁，然后他就让我比较痒，就是蚂蚁会爬到整间屋子都是，然后我就说。不会怎么讲。

Andy(00:14:26): 我感觉可能是有一件事情是我想做的，曾经想做的就可能可以追溯到很小的时候，但也可能是长大了，可能也会有。然后我很想做，但是因为。金钱或者说是我觉得金钱还是比较小的原因，我觉得可能比如说别人。的声音，比如说我妈的声音，我后来没有做。我当然不只是我妈，可能还会有其他的东西，可能是我想做，但是没有做，那我觉得可以把这些东西挖出来，就是变成了。我想要做的事情。

Hite(00:15:14): 在做这些。事情这些纯粹的快乐。似乎没有理由的快乐的事情。你对自己的感受有变化吗。

Andy(00:15:41): 自己的感受。我如果这样回想起来，我观察到的是，当我很快乐的时候，我是没有。当我很快乐的时候，我是不会想到你我他那种？好像每个人都很不一样那种感觉，但是如果是在我不开心的状态，比如说可能我工作在比较或者是我不知道还会有什么不开心。我就会很比较，就是我自己跟别人区别，那这个区别可能是说到底是我好一点还是他好一点，就有可能说，比如说爱情上面可能就是会是。到底他付出的多一点，我付出的多一点，这样就我也不知道我的观察，但是可能会有这样的感觉。

Hite(00:16:44): 在其他的一些时刻，或者说在这个感受来之前，好像我更多是带着一种竞争的思维去面对其他的关系。

Andy(00:16:58): 有点相似。

Hite(00:17:01): 在进入到这样的一个感受之后，它是怎么发生变化的？

Andy(00:17:10): 我感觉很快乐的时候。没有想那么多东西，我也不知道怎么讲。

Hite(00:17:26): 他对你自己的感受你对自己的感觉。是否也会发生变化？没有去想过？

Andy(00:17:37): 没有反正。会感觉我好快乐！就是很心情愉悦的。感觉。我是怎么样的，我就没有在想。

Hite(00:17:59): 我并没有。

Andy(00:17:57): 并或者说又要花多少钱，要花多少精力，就是我不会想，比如说，如果我不做这件事情。当然可能做完之后会这么讲，但是做的时候我不会，如果我不做这件事情，我去工作的话，我可以得到额外的钱或者是。我可以更快的上升值，不会想这些我感觉。

Hite(00:18:23): 纯粹的享受当下的快乐。

Hite(00:18:31): 在这时候。有一些聚光灯打到你身上。周围有很多的观众看着你在这里养蚂蚁。你会有什么样的感受？

Andy(00:18:52): 我感觉我会很开心，反正大家一起来研究一下杨阿姨。的那种感觉。就这个感觉就是你问我聚光灯这个我就会联想到之前问聚光灯好像都是我好像有很多缺点，然后我很害怕聚光灯打下来，我会被别人看见这样子。

Andy(00:19:19): 但是比如说如果是一件很开心的事情，比如说养蚂蚁，然后我就感觉就是不怕聚光灯打一下。就是我是可以，比如说很丑，就是比如说顶着这样一个爆炸头去跟别人讲蚂蚁的，我觉得是就是特别分享蚂蚁有什么。

Andy(00:19:41): 乐趣这样子？对如果是我感觉可能之前我不知道。比如说可能工作或者是不报，可能爱情就是你可能都会想要保持一个比较熟味的，你觉得别人觉得你完美的状态。就可能你要头发要梳的很好，然后讲话要很流利。穿着要很得体之类的。

Hite(00:20:17): 是什么让你在养蚂蚁的过程当中？我可以不用在意我是否是完美的状态。

Andy(00:20:34): 这个问题问的。我觉得有可能是在做一件让我快乐的事情之前，我的快乐来源是别人认可我就比如说我工作，我希望。当然钱也比较重要，但是可能我更另外一个会觉得也很重要的是别人对我的认可，如果我做这件事情都不没有办法得到认可，就是无论是同事的认可。实际成绩的认可，说客户的或者客户同事实际成绩的认可的话，我就会感觉我在做的事情是没有意义的。然后我也会变得不快乐。

Andy(00:21:20): 但是。有点像是我是在别人身上去。透过他的认可去获取快乐，所以我很在乎别人的眼光这样子，但是如果是做，比如说养蚂蚁的话，那我就是怎么讲。我是我本身做这件事情已经很快乐，我就不需要。再给。就再透过别人的认可去获得快乐，所以他认不认可我觉得已经不重要，就让他不认可我，比如说蚂蚁这么。

Andy(00:22:05): 比如说我女朋友跟我妈就她们都不喜欢买。比如说我妈，她就大家满部都会爬蚂蚁，我女朋友就会觉得。他甚至会觉得蚂蚁有点恐怖，然后我觉得就是这么讲。把哪怕他们讨厌也没有关系这样子的感觉。

Hite(00:22:34): 在那一刻，在要蚂蚁的那一刻。你觉得。你是缺人的在做你自己吗？

Andy(00:22:48): 全然的在做我自己。

Hite(00:22:56): 你说。在亚蚂蚁的那个时刻里，我不在意任何其他人对我的看法。我甚至可以顶着这样的一个爆炸头去让所有人围观我。是否意味着时刻的你是真正真实的你。

Andy(00:23:50): 我没有办法回答你，你这个问题是因为我在想。就只能说那是部分的我了。就是我觉得那是很快乐，很忘我的一部分的，我那因为我在想，那就是平时就是可能在工作或者跟别的关系相处的时候，就是有点类似。畏手畏脚的我那是不是也是我觉得也是我？只能说是不同的状态里面。你当然问我更享受哪个状态，那肯定是更享受快乐忘我的那种状态。

Hite(00:24:39): 当现在做这件是快，我一直以来很想要去做的事情。然后我感受到了纯粹的快乐，这样纯粹的快乐让我进入，甚至进入到了忘我的境地。然后我可以不用在意其他人的看法。我也想再多问问你在养蚂蚁之前，我记得你之前也跟我说好像23年什么时候就已经有想养蚂蚁的这样一个念头，然后小时候也有小蚂蚁养蚂蚁的这样一个念头。是什么阻止了你？

Andy(00:25:23): 我感觉家里人一句很简单的，比如说我妈蚂蚁很脏，不要养阿玛一爬的到处都是非。我就会打消掉。念头因为的因为那时候对于我来说，刚刚我没有做这件事情，他就是可能。我可能会我有一点点兴趣想做我不太。就只仅仅到我有一点兴趣想做程度。

Hite(00:26:01): 在去年。你是自己住吗？

Andy(00:26:06): Mm. 

Hite(00:26:09): 那为什么。

Andy(00:26:09): 我自己做。为什么没有养？我23年想养是另外一个事情，我感觉我一个人住没有养，是大概我真的忘了有这件事情。我觉得我的心里面可能也会有其他类似的事情，就是有一些事情。曾经很想做。就那时候因为各种原因没有做，然后过了一段时间，你就可能会提不起劲去做那件事情，或者是。就所谓的放，然后也。怎么讲。也不会，比如说很想要去做它这样子。

Andy(00:27:13): 对。

Hite(00:27:16): 所以。我们之前谈到我知道我想要做什么，但似乎我有很多想要做的事情，就是有的时候他被我们忽略了，被我们忘记了，被我们压抑了。是不是这样？

Andy(00:27:34): 因为我觉得那时候所说的我很想要做的事情，可能给我的主观感受是我得是那种很响。要去做的那种事情就是很极度强烈的。说实话确实是没有。没有这样的事情，就是那时候，那如果你现在问我有什么事想做事情，可能我会把它的标准降低，比如说。我有一点点兴趣我就可以去。做这样子。

Hite(00:28:18): 那我不知道最近还有类似的事情出现在你的脑海里？

Andy(00:28:29): 看电影。然后。看电影跳舞。亚蚂蚁现在是行星？还有创业吧？创业我不确定我做起来会不会快乐，但是我感觉上我是想做这个事，因为也有可能我做起来就是跟打一样，我发现我就一起。也比较。至于别的。我觉得忙这几个都几乎都没有什么时间想一下还有没有别的？我感觉是有的。

Hite(00:29:23): 后续在你意想不到的一些瞬间，他可能也会你意想不到的方式出现在你们脑海？

Andy(00:29:34): 就之前我还蛮喜欢，也不是蛮喜欢，就是想学射箭，其实我大学的时候学过一段时间，但是后来就。太忙了就没学。其实也有一点点想学设计。我也不知道。就我今天就这两天看了一部片子。就这部。我觉得做这是算是看定的一环。就是这部电影我知道了很久。我知道这部电影应该超过十年。我又一直没有十年前是2015年十年前就知道这部电影，但是我一直都没有看。然后就他是那种影评就什么电影榜第一名就是肖申克的救赎就是非常的处理。口碑也是那种第一种感觉，我一直都没有看，我就想着就是好像这样随随便便看了好像。有点浪费，但是我这两天就真的很随随便便看就是怎么讲，就是我把它砍成了三段砍就是。好像是。

Andy(00:31:07): 昨天。今天是周二，周日的下午我看了一下，然后暂停了，然后去看见。

Hite(00:31:14): 三个。

Andy(00:31:19): 看短视频之类的，然后晚上吃饭的时候又看了十几分钟，然后又放下了，然后今天的中午就把它看完了，因为在家工作。我感觉。我觉得就我有两个东西想讲一个东西是好像很多事情就是我感觉很难，就是我要准备很多东西，比如说我要看这部。

Andy(00:31:50): 影评第一的电影我得沐浴更衣可能还得到一个很。豪华的酒店就是我换一下再用什么豪华的酒店，然后配上一个大电视，这样子甚至是可能，如果电影院有重播，那不能 Let's. 就事实上是就不需要这样子就是可以很廉价再把它做完，然后可能就是我也会获得一些快乐。一支音乐。其实也不影响做这件事情，就这是第一点，我想分享第我不知道要不要先聊第一点，不然我爸好像太多。

Hite(00:32:29): 没关系，你可以先讲第二。

Andy(00:32:33): 第二点就是他那套电影本身的含义就是其实就是那个主人公他。就是在他其实就是在做冤狱，在一个煎熬里面就是没有自由。看到他那么没有自由的状况下。都能去。追求自己想要的事情。然后我就感觉很感动。其实看的时候觉得没什么感动。就可能长大就虽然也没有，现在也没有到很老很年长这样，但是可能体验就会很不一样吧，就是那个体验不一样。我也会对比我自己好像是我在一个这么自由的空间。怎么讲就是手里面就是他有时间，然后也有一点钱，就虽然也不是说很，但是起码不愁这个奇怪。

Andy(00:33:54): 或者说比如说我想养个蚂蚁，起码还是出了钱，那你说买个什么豪车买个房，肯定是买不起，但是我觉得支持自己想做的事情。肯定是够的，比如说主人翁，他结尾就是想去。那边买一艘破船去装修，能翻新成一个新的床，就比如说就刚刚我说的什么。看电影什么跳舞，学射箭，蚂蚁并告答案，我都是有资源去完成的。不是我想做，很早之前就已经可以做了，我却。迟迟没有行动这样子。我就会觉得就人在一个很局限的环境，它反而扩散，有很强大的意志去。

Andy(00:34:53): 想做什么一些事情？现在的话好像现在资源。变多了，反而是好像变成一个，我觉得我前一段就工作之前工作那段时间就是我刚开始咨询那段时间。说实话，我觉得有点无所事事，是不是也是无就是你每天都很忙，但是又不知道。你忙那么多是为了什么那种感觉？好像忙了一年，他确实是钱是会存多了一点，但是除了钱变多。除了以外。就好像按那一年是没什么。

Andy(00:35:49): 痕迹吧，我感觉我不知道怎么讲。就这大概这就是我想分享的两。

Hite(00:36:03): 回到第一点。刚才谈到我要去做这件事情。似乎自己也给自己。设下了很多的限制。我要去看影史第一名的电影。所以我要。沐浴更衣我要做好非常周全的准备，我才能去看这部电影，如果没有做好。

Andy(00:36:24): 做好。

Hite(00:36:39): 周全的准备。你会失去什么，你担心你会失去什么？

Andy(00:36:52): 担心我会失去什么？就好像。浪费了这套电。

Hite(00:37:03): 那是怎么。

Andy(00:37:05): 我不知道你会不会有这样一个感觉，如果有人告诉你，你接下来。就是要怎么讲，要咨询的对象是患上了，比如说咨询界的第一疑难杂症这样子，因为我不知道那个疑难杂症是什么。但你也会想，我要做很多的。准备我要怎么，就比如说可能要帮看一下，把咨询的之前自己的一些秘籍或者怎么样。就是看电影也会有因为你看电影看第一遍 Didn't. 你看第二遍感觉会不一样，你看第二遍那个感觉已经会不一样，因为你已经知道那个剧情了。所以你看电影的话，就是起码我会特别珍惜第一遍得到的感觉，所以我就感觉我要准备很多，比如说我要就听说这个很励志，我在想。我要把它留到，比如说我失恋很伤心的时候会说，可能我事业很受挫的时候，或是我人生很低谷的时候再去看这样子。大概是这样一个感觉。

Hite(00:38:28): 如果我没有留到那一个很重要的时刻去看。我可能会失去什么？

Andy(00:38:37): 失去电影可以带给我的某一些东西。

Hite(00:38:51): 所以在这十年来。我一直在等待这么一个时刻去看这部电影，结果是这十年我始终没有去看这部电影。

Hite(00:39:12): 我没有去看这部电影。我有什么样的失去和得到吗？

Andy(00:39:37): 有什么失去合作的？不敢讲事情。

Andy(00:40:09): 失去了什么？我现在这样看回去我感觉就是失去了十年的时光，我觉得在十年前就已经可以看这套电就会这种感觉。得到了什么？得到了。有什么好处？

Andy(00:40:43): 也得到了我这十年对这套电影的期待。对我可能人家觉得这是一部可以拯救我的电影。

Hite(00:40:55): 我期待在关键的时刻可以用上它。

Andy(00:41:02): 对好像你怀里面有一颗灵丹妙药。那其实我觉得也还，我只看完我今天看完又觉得你其实也还好对然后。大概这样子。

Hite(00:41:24): 我想当。

Andy(00:41:24): 可以早一点做了，他其实也不是什么什么爵士就它好看，但是可能比如说如果交给我评。那个第一可能不会是他，但是他觉得是一部很好的电影，但是所以我就觉得其实也不用那么沐浴更衣这样子去看电影就是。就先看完再说。

Hite(00:41:50): 这让我联想起来。去年12月份的时候。我们不是在讨论是不是要去旅游吗？我一定要去排名第一的雪山。

Andy(00:42:09): 是就已经做。

Hite(00:42:09): 去排名第一的雪山，意味着我需要做更多的准备，我需要准备更多的钱。我需要也是准备更加详细的攻略。然后。我不知道在此之前是否发生过类似的事情，在当时我们没有咨询的话，是否意味着。因为我没有做好完美的准备去看排名第一的学生，所以我一直在等待。

Hite(00:42:51): 另一个时机的到来。

Andy(00:42:54): 我感觉我整个人基本上都是这样，就是我很想要完美的事，就是好像我刚开始咨询，就是我是完，有点我觉得我有点完美主义。

Andy(00:43:08): 我很希望这是一个完美的条件去做那件事情，比如说可能我走我去旅游，第一个是说我想要到。我那么久不旅游，我得到一个比较特别一点的地方，就比如他有一个最什么什么的地方。就哪怕不是，就比如说要去某一个地方，我比如说要去雪山，我也可能希望我做好万全的准备，能买很多东西。就比如说我把最容易错过的是什么原因，比如说我发现我去做这件事情最好的月份是。比如说做最好的事，可能是我那时候是11月份去的，比如说。最好是10月份或者是最好是2月看雪是最好的，然后我就是现在。12月。还有两个月才是2月，那我现在去不是亏了，就是我会有一种亏了的心情就是比起我好像别人都在推荐2月去。然后就是会有这种亏的。或者说我好像做的还不够完美，如果现在去做的话。

Andy(00:44:31): 这种形态养蚂蚁我觉得。也是幸运，如果我觉得发现另外一个因为刚好蚂蚁它就是那种蚁后。它是每年会有一个固定的大部分也不是说所有大部分蚂蚁，它会有一个固定的时间去有一批新的以后他会。那是繁殖的一个月份，就因为刚好现在养或者是主要的蚂蚁都是在456月份，这样子会有一批新的以后。我其实也晚了一个月，就是有一天我在养的他其实4月就开始生产出来，我在想。我是。比如说我是6月份才想养麻油就会感觉我考3月份生产的蚂蚁别人卖，剩下卖到6月了才给我，就我才买回来，我就会有一种。我觉得我是这种状况，我肯定会有。质疑的心态，或者比较的心态不用想，那我还不如买别人去年就养好的那一群就不要买一个新的，这样子。就是可能我内心是比较想从零开始养，但是我会因为比较别人好像卖三个月卖剩下来的，那我就不要选择这种我最想要做的方式去。做这样子。

Hite(00:46:09): 我始终没有让自己真正的得到充分的满足。好像还是我们之前看好的这一部分。

Andy(00:46:19): 我觉得最关键是我好，我老是觉得好像得。对得让我刚好遇到最完美的事情，就比如说我买显卡也是我觉得。就算我现在没那么想打游戏。我老是在等显卡最低价的时候想录。然后结果就是现在618是最低价了，我现在不想玩游戏了，就是没也不是不想玩，没那么想玩电脑游戏。哪怕是比如说 P s5我也很少。我觉得真的是有点傻。比如说你为了便宜。我那时候是买了一个显卡，然后我怕买贵了，我就把它卖掉了，我不知道有这个事情有没有跟你说过，没有说过吧，就是我。

Hite(00:47:16): 没有。

Andy(00:47:18): 那时候3月份买了一张显卡，然后那在显卡原价是？原价是。蒙迪多少。就反正那次原价是5000。然后我花了5350还是5400，忘记了，就是买回来，然后就是有一点溢价，因为他刚刚出。但是哪怕有溢价，它也是一张就是性价比很高的卡，这样子就是比较推荐的显卡这样子，然后我买回来，然后我就觉得我靠，再过三个月就618了。那我到时候他原价卖的话，我不亏了350。我就把它退回去。那张显卡没有真的弄到我手上，因为就是我在快递的途中就退回去这样子，然后我还得付退的快递费。

Andy(00:48:21): 就是一个例子，可能等现在它真的降到原价，就是可能从504这样子降回到五五千三四到。5000这样子。可能我已经就不想玩游戏了。或者说是有点像压抑太久，就是压抑，忘了，可能也许我可能还是喜欢玩电脑游戏，但是就会变成类似养蚂蚁，很多年前就是可能我很想养蚂蚁。但是我压抑了，压抑久了。因为我们会讲。就可能我这个也是不太好，就是讲延迟满足。有时候我就会过度延迟满足就不需要这个东西。就点这种感觉。

Hite(00:49:13): 我就想到。如果那一次旅游。如果发生在之前，它是不是就可能会演变成，因为我一定要等到一个完美的时刻，我要在比如说最佳的那个月份。然后我的钱也准备好了，我的同伴各方面全都准备好了，我要去见证了一个排名第一的雪山。

Hite(00:49:44): 也许我又等了十年，我还是没有等到这一个时刻。这十年我反而什么地方都没有去成。

Andy(00:49:57): 我觉得有点类似这样的感觉。是这样。

Hite(00:50:02): 还是类似于电影？这十年我没有去看这部电影，我这十年我什么地方都没有去成。我想做的事情在这十年，因为我想要等待一个时机去完成，我一直没有等到那一个所谓的对的时机。

Hite(00:50:32): 在这个过程当中，你都得到了什么，又都失去了什么？

Andy(00:50:40): 我得到像我准备的更好，但是我失去了就是时间。就时间是最？也不能说时间吧，说时机。比如说。我前女友对我说过一番话，我觉得印象还蛮深，我印象深刻，不是说因为他是我前女友。他说的这番话还蛮有意思，因为他比我大两岁，就是有一个前女友，他说那时候我也是。想换显卡就是我这张显卡是我现在这张显卡是这个游戏卡是类似67年前买的。那就这张显卡在前前任的时候也还是这张显卡，然后我到时候已经想换了，然后我又在。纠结，然后再比价，他又跟我说如果你真的很想玩，你就去买吧，因为。你之后你有钱了，或者是这张显卡降价了，你可能已经没有空去玩，或者已经不想玩。我那时候听起来也很有道理，但是我还是会这么讲，还是会等到最低价，或者等到最有性价比的时候。

Andy(00:52:24): 那现在确实我怎么讲。好像也确实是如他所言，好像我现在是。怎么讲，我现在好像存款更多的更有能力去买到好的显卡，然后显卡也好像确实是最近在。

Hite(00:52:39): 那你。

Andy(00:52:47): 降价了。我又好像已经没有那么想要买。有点像是。

Hite(00:53:00): 我一直在等待一个时机，完美的时机，这个时机能够让我充分的被满足，各方面条件全都到底。我愿意为了这样一个完美的，充分的满足来延迟我的满足，最终的结果却是我始终。

Andy(00:53:22): 对。

Hite(00:53:24): 没有得到满足。我始终在等待那样一个 map 满足。

Andy(00:53:33): 是因为。讲的，因为我好像从小或者是我看书老师说延迟满足，当然可能他书里面说的也就是让我延迟一小会。结果我可能是变成了延迟很久，这样子就有一件事情是有期限，或者是有一个时间长，不做的话就可能。没有的这样子。

Hite(00:54:02): 因为时间关系，我们今天是否可以先停在这里？

Andy(00:54:04): 可以的。

Hite(00:54:10): 也许下一次我们可以跟进一步的去探讨这样的模式对你而言也许也有它特别的意义。那今天我们可能就先到这里，然后这周六因为是端午节，我不知道能不能就是。改到周日的早上11点。

Andy(00:54:39): 没问题。

Hite(00:54:41): 好，那我们就周日早上再见。

Andy(00:54:47): 周日早上你还有别的咨询吗？

Hite(00:54:48): 怎么了吗。

Andy(00:54:55): 我不知道可能十30会不会可以？

Hite(00:55:01): 如果早一点的话也可以。比如说咱。

Andy(00:55:04): 那就十30好不好，十30开始。

Hite(00:55:06): 好。那我们就周日早上十30再见。

Andy(00:55:11): 好，谢谢你拜拜。
